year,tree_no,ring_width_mm,stand
1980,3,1.06,OI
1980,4,1.04,OI
1980,5,0.35,OI
1980,6,0.32,OI
1980,7,0.98,OI
1980,8,0.71,OI
1980,9,1.21,OI
1980,10,1.34,OI
1981,1,0.79,OI
1981,2,0.57,OI
1981,3,0.98,OI
1981,4,0.61,OI
1981,5,0.29,OI
1981,6,0.47,OI
1981,7,0.91,OI
1981,8,0.56,OI
1981,9,0.54,OI
1981,10,0.98,OI
1982,1,0.59,OI
1982,2,0.32,OI
1982,3,0.74,OI
1982,4,0.39,OI
1982,5,0.15,OI
1982,6,0.22,OI
1982,7,0.61,OI
1982,8,0.26,OI
1982,9,0.36,OI
1982,10,0.35,OI
