year,tree_no,ring_width_mm,stand
1953,1,1.77,1
1953,2,2.05,1
1953,3,1.93,1
1953,4,3.59,1
1953,5,2.93,1
1953,6,3.22,1
1953,7,3.96,1
1953,8,3.27,1
1953,9,3.84,1
1953,10,1.41,1
1954,1,3.17,1
1954,2,2.8,1
1954,3,2.71,1
1954,4,5.18,1
1954,5,2.72,1
1954,6,3.79,1
1954,7,4.04,1
1954,8,3.98,1
1954,9,4.7,1
1954,10,1.3,1
1955,1,2.76,1
1955,2,2.61,1
1955,3,3.49,1
1955,4,5,1
1955,5,4.16,1
1955,6,4.08,1
1955,7,3.84,1
1955,8,4.84,1
1955,9,5.56,1
1955,10,1.74,1
1956,1,2.32,1
1956,2,2.11,1
1956,3,3.48,1
1956,4,4.48,1
1956,5,4.51,1
1956,6,3.58,1
1956,7,2.29,1
1956,8,5.12,1
1956,9,4.57,1
1956,10,1.78,1
1957,1,2.28,1
1957,2,2.09,1
1957,3,3.11,1
1957,4,4.82,1
1957,5,4.81,1
1957,6,3.91,1
1957,7,2.58,1
1957,8,4.79,1
1957,9,4.45,1
1957,10,2.01,1
1958,1,1.02,1
1958,2,1.11,1
1958,3,1.57,1
1958,4,3.31,1
1958,5,2.48,1
1958,6,2.5,1
1958,7,1.48,1
1958,8,2.49,1
1958,9,1.81,1
1958,10,1.88,1
1959,1,1.55,1
1959,2,1.66,1
1959,3,2.36,1
1959,4,4.35,1
1959,5,4.37,1
1959,6,3,1
1959,7,2.09,1
1959,8,2.75,1
1959,9,3.1,1
1959,10,0.99,1
1960,1,2.24,1
1960,2,2.26,1
1960,3,2.84,1
1960,4,5.07,1
1960,5,5.62,1
1960,6,4.69,1
1960,7,3.01,1
1960,8,2.9,1
1960,9,4.43,1
1960,10,1.8,1
1961,1,2.15,1
1961,2,1.97,1
1961,3,2.52,1
1961,4,4.54,1
1961,5,4.2,1
1961,6,3.38,1
1961,7,2.12,1
1961,8,3.25,1
1961,9,3.37,1
1961,10,2.12,1
1962,1,2.08,1
1962,2,2.7,1
1962,3,3,1
1962,4,4.19,1
1962,5,3.4,1
1962,6,2.6,1
1962,7,2.32,1
1962,8,3.39,1
1962,9,3,1
1962,10,1.38,1
1963,1,2.19,1
1963,2,2.42,1
1963,3,2.77,1
1963,4,4.27,1
1963,5,3.24,1
1963,6,3.13,1
1963,7,1.92,1
1963,8,3.35,1
1963,9,3.08,1
1963,10,2.2,1
1964,1,2.32,1
1964,2,2.31,1
1964,3,2.77,1
1964,4,4.2,1
1964,5,3.03,1
1964,6,3.03,1
1964,7,1.55,1
1964,8,2.99,1
1964,9,2.58,1
1964,10,1.77,1
1965,1,2.3,1
1965,2,2.47,1
1965,3,2.83,1
1965,4,4.06,1
1965,5,3.47,1
1965,6,3.05,1
1965,7,1.85,1
1965,8,2.66,1
1965,9,2.84,1
1965,10,1.49,1
1966,1,2.22,1
1966,2,1.67,1
1966,3,2.33,1
1966,4,3.12,1
1966,5,2.03,1
1966,6,2.83,1
1966,7,1.67,1
1966,8,1.93,1
1966,9,2.24,1
1966,10,1.7,1
1967,1,1.28,1
1967,2,0.96,1
1967,3,1.66,1
1967,4,1.99,1
1967,5,0.45,1
1967,6,1.46,1
1967,7,0.73,1
1967,8,1.48,1
1967,9,1.26,1
1967,10,1.32,1
1968,1,1.54,1
1968,2,1.81,1
1968,3,1.84,1
1968,4,2.05,1
1968,5,0.75,1
1968,6,1.37,1
1968,7,1.26,1
1968,8,1.67,1
1968,9,1.38,1
1968,10,1.3,1
1969,1,1.78,1
1969,2,1.58,1
1969,3,2.12,1
1969,4,2.21,1
1969,5,1.36,1
1969,6,0.8,1
1969,7,1.5,1
1969,8,1.41,1
1969,9,1.31,1
1969,10,1.54,1
1970,1,2.22,1
1970,2,1.65,1
1970,3,1.82,1
1970,4,3.28,1
1970,5,2.07,1
1970,6,1.18,1
1970,7,1.57,1
1970,8,1.23,1
1970,9,1.86,1
1970,10,1.21,1
1971,1,1.79,1
1971,2,1.37,1
1971,3,1.55,1
1971,4,3.22,1
1971,5,2.52,1
1971,6,1.28,1
1971,7,1.46,1
1971,8,1.32,1
1971,9,1.56,1
1971,10,1.14,1
1972,1,1.97,1
1972,2,1.8,1
1972,3,1.62,1
1972,4,3.67,1
1972,5,2.11,1
1972,6,1.68,1
1972,7,1.34,1
1972,8,1.45,1
1972,9,2.1,1
1972,10,1.14,1
1973,1,2,1
1973,2,1.57,1
1973,3,1.58,1
1973,4,2.99,1
1973,5,2.72,1
1973,6,1.62,1
1973,7,1.32,1
1973,8,2.27,1
1973,9,2.08,1
1973,10,1.39,1
1974,1,1.68,1
1974,2,1.25,1
1974,3,1.69,1
1974,4,2.56,1
1974,5,1.73,1
1974,6,1.63,1
1974,7,0.81,1
1974,8,1.84,1
1974,9,1.3,1
1974,10,1.81,1
1975,1,1.87,1
1975,2,1.36,1
1975,3,1.57,1
1975,4,2.64,1
1975,5,1.61,1
1975,6,1.58,1
1975,7,1.23,1
1975,8,1.72,1
1975,9,1.55,1
1975,10,1.25,1
1976,1,2.06,1
1976,2,1.32,1
1976,3,1.99,1
1976,4,2.73,1
1976,5,1.58,1
1976,6,1.69,1
1976,7,1.5,1
1976,8,1.73,1
1976,9,1.66,1
1976,10,1.6,1
1977,1,1.71,1
1977,2,1.49,1
1977,3,2.07,1
1977,4,2.67,1
1977,5,1.99,1
1977,6,1.7,1
1977,7,1.4,1
1977,8,1.92,1
1977,9,1.96,1
1977,10,1.64,1
1978,1,1.76,1
1978,2,1.39,1
1978,3,2.21,1
1978,4,2.41,1
1978,5,2.44,1
1978,6,1.56,1
1978,7,1.51,1
1978,8,1.4,1
1978,9,1.84,1
1978,10,2.08,1
1979,1,1.57,1
1979,2,1.89,1
1979,3,2.05,1
1979,4,2.29,1
1979,5,2,1
1979,6,1.12,1
1979,7,1.57,1
1979,8,1.16,1
1979,9,1.77,1
1979,10,1.91,1
1980,1,1.1,1
1980,2,1.07,1
1980,3,0.83,1
1980,4,1.36,1
1980,5,1.36,1
1980,6,0.65,1
1980,7,0.86,1
1980,8,1.02,1
1980,9,1.24,1
1980,10,1.76,1
1981,1,0.97,1
1981,2,1.1,1
1981,3,1.18,1
1981,4,1.58,1
1981,5,1.22,1
1981,6,0.77,1
1981,7,1.14,1
1981,8,1.11,1
1981,9,1.17,1
1981,10,1.08,1
1982,1,0.57,1
1982,2,0.56,1
1982,3,0.44,1
1982,4,0.61,1
1982,5,0.63,1
1982,6,0.39,1
1982,7,0.52,1
1982,8,0.64,1
1982,9,0.67,1
1982,10,0.64,1
