band_number,year,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,clutch_size,clutch_number,no_of_young_fledged,number_hatch,location
2311.93257,2011,M,BLU,116,118,57,89,21.1,2011-06-11,MC16,6,1,5,5,MC
2311.93288,2010,F,BLU,115.5,116,53,90,21.35,2010-06-08,SL80,5,1,4,4,SL
2311.93288,2011,F,BLU,117,119,54,93,21.7,2011-06-13,SL53,6,1,4,4,SL
2311.93288,2012,F,BLU,118,122,56,93,22.4,2012-06-03,SL26,6,1,6,6,SL
2311.93292,2010,F,INT,116,119,57,93,20.4,2012-06-01,PT13G,5,1,4,4,PT
2311.93292,2012,F,BLU,115,120,57,92,19.5,2012-06-02,PT07J,6,1,6,6,PT
2311.933,2011,M,BLU,117,121,55,94,19.9,2011-06-09,SL35,8,1,8,8,SL
2311.93336,2010,M,BLU,114,116,56,93,21.5,2010-06-12,MC70,6,1,3,5,MC
2311.93384,2010,F,BLU,114,115,52,91,23,2010-06-06,SL63,4,1,4,4,SL
2311.93384,2011,F,INT,115,117,55,91,21,2011-06-13,SL63,6,1,3,6,SL
2311.93466,2011,F,BLU,114,116,55,91,21.3,2011-06-04,MC63,4,1,4,4,MC
2311.93467,2010,F,BLU,113,115,53,95,18.5,2010-06-10,MC57,6,2,5,5,MC
2311.93468,2010,F,BLU,111,112,54,90,18.5,2010-06-10,MC04,5,1,5,5,MC
2311.9347,2010,M,BLU,120,122,52,97,20.9,2010-06-10,MC21,5,1,0,4,MC
2311.93471,2012,F,BLU,112,115,58,89,18.9,2012-06-14,MC65,6,1,5,5,MC
2311.93472,2010,F,BLU,112,114,53,89,20,2010-06-07,MC40,6,1,4,6,MC
2311.93473,2011,F,BLU,111,114,57,92,20.7,2011-06-14,MC29,5,1,4,5,MC
2311.93475,2011,M,BLU,114,117,54,92,21.2,2011-06-12,MC18,7,1,4,4,MC
2311.93478,2010,F,BLU,118,121,57,92,20.25,2010-06-12,MC62,5,1,1,1,MC
2311.93479,2010,M,BLU,120,122,56,97,20.5,2010-06-12,MC13,6,1,0,4,MC
2311.93482,2010,F,BLU,108,110,59,85,19.5,2010-06-10,MC16,5,1,3,5,MC
2311.93484,2012,M,BLU,119,121,58,95,20.5,2012-06-04,MC60,6,1,3,4,MC
2311.93485,2010,M,BLU,122,125,59,97,21.4,2010-06-11,SL52,5,1,5,5,SL
2311.93485,2011,M,BLU,121,123,58,96,22.5,2011-06-05,SL52,4,1,3,4,SL
2311.93485,2012,M,BLU,122,125,57,98,22.4,2012-06-08,SL52,5,1,4,4,SL
2311.93486,2010,F,BLU,120,121.5,60,96,19.7,2010-06-06,SL61,6,1,5,5,SL
2311.9349,2011,M,BLU,119,121,59,95,19.3,2011-06-10,SL64,6,1,6,6,SL
2311.9349,2012,M,BLU,118,119,57,93,21.8,2012-06-05,SL46,6,1,4,4,SL
2311.93492,2010,F,BLU,106,108,51,87,19.2,2010-06-10,MC43,6,1,3,6,MC
2311.93492,2011,F,BLU,107,109,51,88,20.4,2011-06-12,MC47,7,1,5,5,MC
2311.93495,2011,F,BLU,113,115,53,93,22.1,2011-06-12,MC06,4,1,3,3,MC
2311.93497,2011,F,BLU,112,114,52,92,20.4,2011-06-17,MC19,6,2,5,5,MC
2311.93498,2011,M,BLU,115,117,54,90,18.9,2011-06-12,MC26,5,1,5,5,MC
2311.93498,2012,M,BLU,115,117,54,89,19.1,2012-06-02,MC33,6,1,4,4,MC
2311.93613,2010,F,BRO,115,117,54,91,20.2,2012-06-01,PT10G,6,1,6,6,PT
2311.93613,2011,F,INT,116,118,54,91,19.88,2011-06-13,PT09H,6,1,6,6,PT
2311.9362,2010,M,BLU,117,118,54,91,20,2012-06-01,PT13G,5,1,4,4,PT
2311.9362,2011,M,BLU,117,119,56,92,19.1,2011-06-17,PT13G,6,1,4,4,PT
2311.9362,2011,M,BLU,117,119,56,92,19.1,2011-06-17,PT12G,6,1,0,6,PT
2311.9362,2011,M,BLU,117,119,55,91,20,2011-06-20,PT13G,6,1,4,4,PT
2311.9362,2011,M,BLU,117,119,55,91,20,2011-06-20,PT12G,6,1,0,6,PT
2311.9362,2012,M,BLU,117,120,55,95,20.74,2012-06-05,PT13G,5,1,5,5,PT
2311.9364,2012,F,BLU,115,118,54,88,22.1,2012-06-09,PT14J,6,1,6,6,PT
2311.93644,2010,F,BLU,112,115,54,90,22,2021-06-01,PT14I,6,1,4,6,PT
2311.93646,2010,M,BLU,122,123,58,95,22.5,2012-06-01,PT04J,6,1,0,0,PT
2311.9366,2010,F,BLU,115,118,53,89,20.5,2015-06-01,PT13H,6,1,5,5,PT
2311.9366,2010,F,BLU,116,117,53,90,21.3,2012-06-01,PT13H,6,1,5,5,PT
2311.9366,2011,F,BLU,112,115,53,86,19.3,2011-06-17,PT14G,7,1,7,7,PT
2311.9366,2011,F,BLU,114,116,55,87,21.22,2011-06-14,PT14G,7,1,7,7,PT
2311.9367,2011,F,INT,114,118,57,89,21.3,2011-06-20,PT14I,7,1,6,7,PT
2311.9367,2012,F,INT,119,122,56,93,22.2,2012-06-07,PT14I,7,1,6,6,PT
2311.93693,2010,F,BLU,115,116,55,91,20.6,2018-06-01,PT07J,5,1,5,5,PT
2311.93693,2011,F,BLU,113,115,56,90,21.43,2011-06-14,PT08K,6,1,5,6,PT
2311.93708,2010,M,BLU,115,117,55,96,20,2021-06-01,PT18G,6,1,2,2,PT
2311.9371,2011,F,BLU,112,115,54,89,20.2,2011-06-19,PT04J,9,1,6,6,PT
2311.9371,2012,F,BLU,117,120,57,93,20.6,2012-06-08,PT04F,7,1,6,6,PT
2311.93711,2010,F,BLU,100,102,55,92,19,2017-06-01,PT03F,6,1,6,6,PT
2311.93741,2011,M,BLU,122,124,57,96,22.12,2011-06-14,PT08K,6,1,5,6,PT
2311.9375,2010,F,BLU,115,119,58,91,19.75,2020-06-01,PT12I,6,1,4,6,PT
2311.9375,2011,F,BLU,115,117,57,93,19.2,2011-06-16,PT15I,7,1,7,7,PT
2311.93751,2011,F,BLU,111,116,56,78,19.3,2011-06-19,PT13G,6,1,4,4,PT
2311.93761,2010,M,BLU,116,118,56,89,20.5,2017-06-01,PT01I,5,1,5,4,PT
2311.93804,2011,M,BLU,122,125,57,96,22.4,2011-06-13,PT19F,6,1,1,5,PT
2311.93804,2012,M,BLU,120,124,56,96,21.71,2012-06-04,PT12H,6,1,6,6,PT
2311.93805,2011,F,BLU,113,116,56,88,22.85,2011-06-14,PT09J,7,1,7,7,PT
2311.93818,2010,M,BLU,120,123,57,98,19,2019-06-01,PT17G,5,1,4,5,PT
2311.93818,2011,M,BLU,121,123,60,96,21.19,2011-06-13,PT17G,7,1,0,7,PT
2311.93844,2011,F,BLU,114,116,55,89,22.3,2011-06-21,PT10J,6,1,5,5,PT
2311.93844,2012,F,BLU,119,123,55,93,20.8,2012-06-07,PT09J,7,1,6,6,PT
2311.93852,2012,F,BLU,114,117,55,89,20.8,2012-06-02,PT19F,7,1,7,7,PT
2311.93868,2010,M,BLU,116,118,54,93,21,2020-06-01,PT15I,5,1,5,5,PT
2311.93868,2011,M,BLU,115,120,52,90,19.4,2011-06-16,PT15I,7,1,7,7,PT
2311.93868,2012,M,BLU,116,120,55,95,20.26,2012-06-04,PT15I,6,1,4,6,PT
2311.9387,2010,F,BLU,115,118,61,93,21.7,2010-06-12,SL55,7,1,6,6,SL
2311.9387,2011,F,BLU,116,118,54,94,20.8,2011-06-13,SL55,6,1,4,6,SL
2311.9387,2012,F,BLU,114,115,56,89,20.8,2012-06-07,SL55,7,1,6,6,SL
2311.93871,2011,F,INT,110,113,51,90,20.1,2011-06-17,SL21,5,1,2,2,SL
2311.93871,2012,F,BLU,114,115,57,91,19.8,2012-06-02,SL19,6,1,5,6,SL
2311.93872,2010,F,BLU,117,119,54,93,19.73,2010-06-08,SL13,6,1,6,6,SL
2311.93872,2011,F,BLU,115,118,55,93,21.8,2011-06-03,SL13,6,1,5,6,SL
2311.93872,2012,F,BLU,117,118,54,91,20.8,2012-06-05,SL51,6,1,3,3,SL
2311.93908,2011,M,BLU,119,121,57,93,21.6,2011-06-13,SL63,6,1,3,6,SL
2311.93908,2012,M,BLU,122,124,57,95,22.1,2012-06-12,SL63,6,1,6,6,SL
2311.93943,2011,F,BLU,115,117,55,96,20.2,2011-06-15,SL31,6,1,3,6,SL
2311.93943,2012,F,BLU,117,117,51,93,20.8,2012-05-31,SL67,6,1,3,4,SL
2311.93955,2011,M,BLU,114,117,56,89,18,2011-06-07,MC44,5,1,4,4,MC
2311.93958,2010,F,BLU,113,115,54,89,19.7,2010-06-12,SL05,5,1,5,5,SL
2311.93972,2010,F,BLU,115,118,54,92,19.7,2010-06-11,SL51,5,1,3,5,SL
2311.93972,2011,F,BLU,115,118,55,94,18.9,2011-06-15,SL34,6,1,5,6,SL
2311.93972,2012,F,BLU,114,115,56,90,20.5,2012-06-05,SL53,5,1,4,4,SL
2321.0519,2010,F,BLU,112,114,53,91,21.8,2010-06-07,MC30,3,1,3,3,MC
2321.0519,2012,F,BLU,110,112,55,90,21.3,2012-06-06,MC48,3,1,0,1,MC
2321.08252,2010,F,BLU,111,113,52,87,21.6,2012-06-01,PT04J,6,1,0,0,PT
2321.2374,2012,F,BLU,116,118,47,92,21.8,2012-05-31,SL05,6,1,5,5,SL
2351.30152,2012,M,BLU,119,121,57,96,20.6,2012-06-07,SL51,6,1,3,3,SL
2351.33716,2012,F,BLU,112,118,53,90,20.3,2012-05-31,PT17D,6,1,6,6,PT
2351.3545,2010,M,BLU,114,115,51,89,20,2010-06-11,SL11,6,1,3,6,SL
2351.37002,2012,M,BLU,115,117,54,90,21.16,2012-06-04,PT15G,7,1,6,6,PT
2351.37003,2010,M,BLU,120,121,55,91,20,2015-06-01,PT15H,5,1,5,5,PT
2351.37003,2011,M,BLU,118,120,56,92,20.99,2011-06-13,PT15H,5,1,4,4,PT
2351.37003,2011,M,BLU,118,120,56,92,20.99,2011-06-13,PT15H,5,1,4,4,PT
2351.37003,2011,F,BLU,116,118,56,91,23.46,2011-06-13,PT15H,5,1,4,4,PT
2351.37003,2011,F,BLU,116,118,56,91,23.46,2011-06-13,PT15H,5,1,4,4,PT
2351.37003,2012,M,BLU,118,121,56,94,20.57,2012-06-05,PT15H,6,1,5,5,PT
2351.37004,2011,F,BLU,110,112,55,86,18.7,2011-06-19,PT06J,6,1,5,5,PT
2351.37007,2010,M,BLU,119,120,56,92,21,2017-06-01,PT09G,6,1,6,6,PT
2351.37007,2012,M,BLU,117,120,58,95,21.55,2012-06-06,PT09G,5,1,4,4,PT
2351.37008,2010,F,BLU,116,118,58,91,21,2017-06-01,PT09G,6,1,6,6,PT
2351.37008,2012,F,BLU,117,119,56,94,23.07,2012-06-04,PT09G,5,1,4,4,PT
2351.37011,2010,F,BLU,114,116,53,89,18.75,2017-06-01,PT07K,6,1,4,5,PT
2351.37012,2010,F,BLU,114,116,58,91,21.5,2017-06-01,PT18F,5,1,4,5,PT
2351.37012,2011,F,BLU,113,116,54,91,20.5,2011-06-17,PT15F,6,1,6,6,PT
2351.37012,2012,F,BLU,112,115,54,92,22.25,2012-06-06,PT16I,6,1,5,6,PT
2351.37013,2010,F,BLU,115,116,56,91,22.25,2021-06-01,PT18G,6,1,2,2,PT
2351.37014,2010,F,BLU,111,113,55,89,20,2015-06-01,PT12J,6,1,2,6,PT
2351.37015,2010,F,BLU,118,120,58,95,19.5,2017-06-01,PT09K,5,1,5,5,PT
2351.37015,2011,F,BLU,117,119,55,92,19.4,2011-06-17,PT09K,5,1,4,5,PT
2351.37018,2010,M,BLU,117,119,56,92,21.25,2020-06-01,PT14I,6,1,4,6,PT
2351.37019,2010,M,BLU,119,120,56,93,21,2017-06-01,PT11H,6,1,6,6,PT
2351.37019,2011,M,BLU,115,118,60,93,21.3,2011-06-19,PT11H,6,1,5,6,PT
2351.37022,2010,F,BLU,114,115,55,86,20.8,2017-06-01,PT17D,7,1,4,5,PT
2351.37022,2011,F,INT,115,118,55,89,21.1,2011-06-22,PT17D,7,1,5,5,PT
2351.37025,2010,M,BLU,119,120,54,93,20.2,2017-06-01,PT17D,7,1,4,5,PT
2351.37025,2011,M,BLU,116,118,56,92,20,2011-06-21,PT17D,7,1,5,5,PT
2351.37082,2010,F,BLU,112,113,52,88,20.9,2010-06-07,MC55,4,1,3,3,MC
2351.37082,2011,F,BLU,109,111,54,90,20.9,2011-06-05,SL52,4,1,3,4,SL
2351.37082,2012,F,BLU,111,113,52,87,20.8,2012-05-30,SL80,5,1,0,5,SL
2351.37083,2010,F,BLU,112,114,55,90,21,2010-06-07,MC75,5,1,4,5,MC
2351.37083,2012,F,BLU,114,118,51,88,20.4,2012-06-02,MC64,6,1,2,6,MC
2351.37084,2010,F,BLU,115,116,54,92,21,2010-06-07,MC34,4,1,1,4,MC
2351.37085,2011,M,BLU,114,116,54,88,20.9,2011-06-12,MC32,7,1,5,5,MC
2351.37086,2010,F,BLU,113,115,55,90,21.4,2010-06-10,MC19,5,1,3,4,MC
2351.37086,2011,F,BLU,111,114,53,89,22,2011-06-12,MC32,7,1,5,5,MC
2351.37086,2012,F,BLU,114,117,54,91,22.7,2012-05-31,MC32,6,1,0,0,MC
2351.37087,2010,M,BLU,110,115,52,88,20.5,2010-06-10,MC19,5,1,3,4,MC
2351.37088,2010,F,BLU,109,110,51,87,18.6,2010-06-10,MC08,5,1,3,3,MC
2351.37088,2011,F,BLU,109,111,55,89,19.4,2011-06-12,MC03,6,1,4,4,MC
2351.37088,2011,F,BLU,109,111,55,86,20.2,2011-06-11,MC03,6,1,4,4,MC
2351.37089,2010,M,BLU,120,122,56,98,20.9,2010-06-10,MC08,5,1,3,3,MC
2351.37089,2012,M,BLU,120,121,57,98,21.2,2012-06-14,MC09,4,1,2,4,MC
2351.3709,2010,F,BLU,113.5,116,55,95,20.1,2010-06-10,MC31,4,1,3,3,MC
2351.3709,2011,F,BLU,114,117,55,91,23.78,2011-06-02,MC31,5,1,0,5,MC
2351.37091,2010,M,BLU,123,126,57,91,20.4,2010-06-10,MC30,3,1,3,3,MC
2351.37091,2012,M,BLU,117,119,59,93,22.5,2012-05-31,MC31,6,1,5,5,MC
2351.37092,2010,F,BLU,113,115.5,56,90,20.5,2010-06-12,MC45,5,1,3,4,MC
2351.37093,2010,M,BLU,114,115,54,91,20.5,2010-06-12,MC45,5,1,3,4,MC
2351.37094,2010,F,BLU,115,117,55,92,20.8,2010-06-12,MC13,6,1,0,4,MC
2351.37095,2010,F,BLU,115,117,55,96,21,2010-06-12,MC12,5,1,4,4,MC
2351.37097,2010,F,BLU,110,111,51,88,19,2010-06-12,MC68,4,1,2,2,MC
2351.37097,2011,F,BLU,109,111,50,88,18.62,2011-06-05,MC68,4,1,3,3,MC
2351.37097,2012,F,BLU,110,114,52,87,19.9,2012-06-02,MC15,6,1,3,3,MC
2351.37098,2011,F,BLU,112,114,54,92,21.6,2011-06-09,MC50,5,1,5,5,MC
2351.37098,2012,F,BLU,112,115,59,90,19.9,2012-06-14,MC05,5,1,2,2,MC
2351.37099,2011,F,BLU,116,118,56,96,20.8,2011-06-11,MC35,7,1,5,7,MC
2351.37099,2011,F,BLU,116,118,56,96,20.8,2011-06-11,MC34,5,1,4,5,MC
2351.37099,2011,F,BLU,116,120,55,89,20.2,2011-06-13,MC35,7,1,5,7,MC
2351.37099,2011,F,BLU,116,120,55,89,20.2,2011-06-13,MC34,5,1,4,5,MC
2351.37099,2011,F,INT,114,116,56,95,20.3,2011-06-17,MC35,7,1,5,7,MC
2351.37099,2011,F,INT,114,116,56,95,20.3,2011-06-17,MC34,5,1,4,5,MC
2351.37099,2011,F,BLU,117,119,54,95,21.6,2011-06-09,MC35,7,1,5,7,MC
2351.37099,2011,F,BLU,117,119,54,95,21.6,2011-06-09,MC34,5,1,4,5,MC
2351.37099,2012,F,BLU,117,119,57,93,19.9,2012-06-02,MC24,6,1,5,6,MC
2351.371,2011,M,BLU,124,126,55,97,21.2,2011-06-12,MC52,7,1,5,5,MC
2351.37106,2010,M,BLU,123,124,50,96,20.5,2015-06-01,PT10I,5,1,5,5,PT
2351.37106,2011,M,BLU,122,124,61,95,20.71,2011-06-14,PT10I,6,1,5,5,PT
2351.37106,2011,M,BLU,122,124,61,95,20.71,2011-06-14,PT11I,6,1,5,5,PT
2351.37106,2011,M,BLU,118,121,60,92,18.9,2011-06-16,PT10I,6,1,5,5,PT
2351.37106,2011,M,BLU,118,121,60,92,18.9,2011-06-16,PT11I,6,1,5,5,PT
2351.37108,2010,F,BRO,114,115,53,88,19.8,2018-06-01,PT15F,5,1,5,5,PT
2351.37123,2011,M,BLU,117,120,56,92,20.2,2011-06-19,PT01I,7,1,5,5,PT
2351.37123,2012,M,BLU,115,119,57,95,21.15,2012-06-04,PT01I,6,1,6,6,PT
2351.37128,2012,M,BLU,120,124,58,97,21.2,2012-05-31,PT02J,6,1,6,6,PT
2351.37179,2012,F,BLU,110,112,52,88,18.2,2012-06-08,PT14G,6,1,5,5,PT
2351.37187,2012,F,BLU,111,114,54,98,21.46,2012-06-06,PT10J,6,1,6,6,PT
2351.37214,2012,M,BLU,117,121,58,94,20.6,2012-05-31,PT17D,6,1,6,6,PT
2351.37231,2010,M,BLU,116,118,56,93,19.5,2017-06-01,PT15F,5,1,5,5,PT
2351.37231,2011,M,BLU,118,121,60,94,19.8,2011-06-17,PT15F,6,1,6,6,PT
2351.37231,2012,M,BLU,121,123,58,92,19.4,2012-06-08,PT14G,6,1,5,5,PT
2351.37244,2012,F,BLU,115,117,55,89,20.6,2012-06-10,PT04G,6,1,5,5,PT
2351.37245,2011,F,BLU,115,117,53,91,21.01,2011-06-13,PT10I,6,1,5,5,PT
2351.37245,2011,F,BLU,115,117,53,91,21.01,2011-06-13,PT10H,6,1,5,5,PT
2351.37245,2012,F,BLU,114,116,54,93,20.6,2012-06-02,PT10I,6,1,6,6,PT
2351.37262,2012,M,BLU,124,126,58,93,20.9,2012-06-12,PT10J,6,1,6,6,PT
2351.37278,2012,F,BLU,117,120,56,93,21.99,2012-06-04,PT11K,7,1,5,5,PT
2351.37285,2011,M,BLU,119,121,57,94,20.78,2011-06-14,PT04G,6,1,5,5,PT
2351.37285,2012,M,BLU,122,124,57,95,20.7,2012-06-10,PT04G,6,1,5,5,PT
2351.37302,2011,F,BLU,114,115,54,90,22.2,2011-06-11,MC16,6,1,5,5,MC
2351.37306,2010,F,BLU,115,116,56,91,21.5,2010-06-12,MC70,6,1,3,5,MC
2351.37309,2011,M,BLU,117,119,53,98,21.3,2011-06-11,SL74,5,1,4,4,SL
2351.37309,2012,M,BLU,116,118,57,89,21.2,2012-06-04,SL74,6,1,6,6,SL
2351.37324,2011,F,INT,111,114,55,88,19.9,2011-06-13,MC54,5,1,5,5,MC
2351.37402,2011,M,BLU,117,118,57,94,21.1,2011-06-11,SL39,7,1,5,5,SL
2351.37406,2010,M,BLU,115,118,62,94,19.3,2010-06-12,SL02,4,1,4,4,SL
2351.37406,2011,M,BLU,116,119,56,96,19.8,2011-06-11,SL02,5,1,5,5,SL
2351.37406,2012,M,BLU,119,120,60,93,18.8,2012-06-07,SL02,7,1,7,7,SL
2351.37419,2010,F,INT,107,110,52,88,18.3,2010-06-11,SL18,6,1,4,4,SL
2351.37419,2011,F,INT,110,112,55,91,20.9,2011-06-11,SL73,6,1,6,6,SL
2351.37427,2010,F,BLU,113,116,52,90,19.4,2010-06-11,SL53,6,1,6,6,SL
2351.37427,2011,F,BLU,116,118,55,89,17.6,2011-06-15,SL49,6,1,5,6,SL
2351.37427,2012,F,BLU,115,117,56,93,19.6,2012-06-05,SL38,6,1,5,5,SL
2351.37428,2010,M,BLU,115,116,52,89,20.5,2010-06-06,SL54,5,1,5,5,SL
2351.37429,2010,M,BLU,120,122,55,94,21.5,2010-06-06,SL61,6,1,5,5,SL
2351.3743,2011,F,BLU,115,117,56,93,21.4,2011-06-05,SL68,3,1,2,2,SL
2351.37431,2010,M,BLU,116,118,55,92,19.5,2010-06-06,SL72,8,2,7,8,SL
2351.37432,2010,M,BLU,117,118,55,90,21,2010-06-06,SL63,4,1,4,4,SL
2351.37432,2011,F,BLU,109,111,50,87,20.2,2011-06-13,SL62,6,1,5,5,SL
2351.37433,2012,M,BLU,116,119,47,91,20.6,2012-05-31,SL09,5,1,4,4,SL
2351.37434,2010,F,BRO,109,110.5,52,88,18,2010-06-08,SL09,5,1,5,5,SL
2351.37434,2012,M,BLU,109,111,53,86,21.7,2012-06-03,SL61,7,1,0,7,SL
2351.37435,2011,M,BLU,120,122,55,96,21,2011-06-09,SL08,6,1,6,6,SL
2351.37435,2012,M,BLU,123,125,56,95,21,2012-05-30,SL57,5,1,0,5,SL
2351.37435,2012,M,BLU,123,125,56,95,21,2012-05-30,SL57,3,2,3,3,SL
2351.37436,2010,M,BLU,116,118,53,91,20.3,2010-06-08,SL09,5,1,5,5,SL
2351.37436,2011,M,BLU,115,117,54,95,21,2011-06-10,SL09,6,1,6,6,SL
2351.37436,2012,M,BLU,119,121,59,92,20.9,2012-06-07,SL06,5,1,5,5,SL
2351.37437,2011,F,BLU,108,111,53,89,19.9,2011-06-03,SL57,4,1,1,3,SL
2351.37437,2012,F,BLU,111,115,51,89,20.1,2012-05-29,MC29,5,1,3,3,MC
2351.37438,2010,F,BRO,110.5,113,50,91,21,2010-06-08,SL65,5,1,5,5,SL
2351.37439,2010,F,INT,116,118,55,92,18.9,2010-06-11,SL71,7,1,7,7,SL
2351.37439,2011,F,BLU,112,116,56,86,19.5,2011-06-10,SL12,9,1,7,9,SL
2351.37439,2012,F,BLU,118,120,49,92,20,2012-05-31,SL12,7,1,6,6,SL
2351.3744,2011,F,BLU,113,115,58,91,20.5,2011-06-09,SL80,5,1,3,5,SL
2351.3744,2012,F,BLU,111,113,56,89,19.7,2012-06-02,MC58,5,1,5,5,MC
2351.37441,2010,F,BLU,114,116,59,92,21,2010-06-11,SL17,6,1,6,6,SL
2351.37441,2011,F,BLU,113,115,53,91,22.4,2011-06-11,SL14,6,1,5,5,SL
2351.37441,2012,F,BLU,115,116,59,89,20.7,2012-06-04,SL07,6,1,6,6,SL
2351.37442,2010,M,BLU,116,119,57,96,20.2,2010-06-11,SL20,6,1,4,4,SL
2351.37442,2011,M,BLU,119,121,57,98,21.2,2011-06-05,SL18,6,1,5,5,SL
2351.37442,2012,M,BLU,119,122,58,98,20.8,2012-05-28,SL18,5,1,0,5,SL
2351.37443,2010,M,BLU,122,125,69,99,21,2010-06-11,SL71,7,1,7,7,SL
2351.37444,2010,M,BLU,113,115,55,93,18.9,2010-06-11,SL23,7,1,6,6,SL
2351.37445,2010,F,INT,114,115.5,54,90,20,2010-06-11,SL33,6,1,6,6,SL
2351.37447,2010,M,BLU,114,116,52,89,19,2010-06-11,SL53,6,1,6,6,SL
2351.37448,2010,M,BLU,114,118,54,89,20.5,2010-06-11,SL60,6,1,3,3,SL
2351.37448,2011,M,BLU,118,119,55,98,20.9,2011-06-15,SL59,8,1,0,7,SL
2351.37449,2010,F,BLU,110,114,54,91,22.5,2010-06-11,SL30,5,1,4,4,SL
2351.37449,2011,F,BLU,110,112,53,88,23.4,2011-06-11,SL02,5,1,5,5,SL
2351.37449,2012,F,BLU,113,115,53,91,24,2012-06-03,SL45,5,1,5,5,SL
2351.3745,2011,M,BLU,112,115,53,89,20.1,2011-06-10,SL11,5,1,4,5,SL
2351.3745,2012,M,BLU,116,117,55,88,20.3,2012-06-07,SL11,6,1,6,6,SL
2351.37451,2010,M,BLU,122,125,62,99,21.5,2010-06-12,SL57,5,1,4,5,SL
2351.37451,2011,M,BLU,121,123,56,96,20.4,2011-06-17,SL57,4,1,1,3,SL
2351.37452,2010,F,BLU,111,113,55,89,21,2010-06-12,SL58,5,1,5,5,SL
2351.37453,2010,F,BLU,112,114,58,89,19.2,2010-06-12,SL07,7,1,4,4,SL
2351.37454,2010,M,BLU,119,120,57,95,21.4,2010-06-12,SL68,6,1,5,6,SL
2351.37454,2011,M,BLU,120,122,58,98,21.7,2011-06-17,SL68,3,1,2,2,SL
2351.37454,2012,M,BLU,122,123,59,97,22,2012-05-28,SL68,6,1,6,6,SL
2351.37455,2010,M,BLU,115,116,55,96,21.3,2010-06-12,SL03,6,1,5,5,SL
2351.37456,2010,M,BLU,115,117,55,94,21.3,2010-06-12,SL05,5,1,5,5,SL
2351.37456,2011,M,BLU,115,117,53,89,21.5,2011-06-17,SL05,7,1,6,6,SL
2351.37456,2012,M,BLU,116,116,54,91,21.8,2012-05-31,SL05,6,1,5,5,SL
2351.37457,2010,M,BLU,117,120,56,92,20.6,2010-06-12,SL55,7,1,6,6,SL
2351.37457,2011,M,BLU,116,121,57,96,20.5,2011-06-15,SL50,6,1,2,4,SL
2351.37457,2012,M,BLU,118,120,56,92,20.7,2012-06-07,SL62,6,1,6,6,SL
2351.37458,2010,M,BLU,125,127,64,100,20.4,2010-06-12,SL04,6,1,4,4,SL
2351.37459,2011,M,BLU,118,120,58,94,20.7,2011-06-19,SL58,5,1,2,3,SL
2351.37459,2012,M,BLU,119,121,60,93,21.6,2012-06-04,SL56,5,1,4,4,SL
2351.37466,2011,F,INT,114,116,55,91,18.9,2011-06-17,SL38,6,1,3,4,SL
2351.37466,2012,F,BLU,115,116,57,93,20.2,2012-06-08,SL78,6,1,6,6,SL
2351.37468,2011,M,BLU,116,119,53,91,24.3,2011-06-13,SL01,6,1,4,6,SL
2351.37468,2012,M,BLU,122,123,56,97,23.9,2012-05-30,SL01,6,1,0,5,SL
2351.37469,2011,F,BLU,109,112,52,83,20.3,2011-06-13,SL70,6,1,6,6,SL
2351.37472,2011,F,BLU,113,116,56,89,20.1,2011-06-11,MC11,6,1,6,6,MC
2351.37472,2011,F,INT,112,114,54,91,19,2011-06-09,MC11,6,1,6,6,MC
2351.37472,2012,F,BLU,116,119,55,92,19.1,2012-06-02,MC11,5,1,5,5,MC
2351.37474,2011,F,BLU,111,116,55,92,22.8,2011-06-03,SL27,6,1,6,6,SL
2351.37474,2012,F,BLU,113,118,56,90,22.2,2012-06-03,SL27,6,1,5,5,SL
2351.37475,2011,M,BLU,119,125,56,97,21.7,2011-06-03,SL27,6,1,6,6,SL
2351.37476,2011,M,BLU,114,116,54,92,21,2011-06-05,SL77,5,1,5,5,SL
2351.37477,2011,F,BLU,111,114,55,88,22.2,2011-06-05,SL30,5,1,4,4,SL
2351.37477,2011,F,BLU,111,114,55,88,22.2,2011-06-05,SL30,5,1,4,4,SL
2351.37478,2011,F,BLU,116,120,56,92,19.6,2011-06-06,SL25,5,1,3,3,SL
2351.37478,2012,F,BLU,116,119,57,92,20,2012-05-30,SL57,3,2,3,3,SL
2351.37478,2012,F,BLU,116,119,57,92,20,2012-05-30,SL57,5,1,0,5,SL
2351.37479,2011,M,BLU,125,127,59,96,22,2011-06-06,SL25,5,1,3,3,SL
2351.3748,2011,F,BLU,115,117,56,91,20.5,2011-06-08,SL41,6,1,6,6,SL
2351.3748,2012,F,BLU,114,115,56,88,19,2012-06-07,SL50,6,1,5,5,SL
2351.37481,2011,M,BLU,116,120,54,91,21.3,2011-06-08,SL41,6,1,6,6,SL
2351.37482,2011,F,BLU,116,119,55,94,20.4,2011-06-09,SL08,6,1,6,6,SL
2351.37482,2012,F,BLU,118,119,57,93,18.1,2012-06-02,SL15,6,1,4,6,SL
2351.37483,2011,F,BLU,111,113,55,92,20.6,2011-06-09,SL35,8,1,8,8,SL
2351.37483,2012,F,BLU,114,115,54,90,20.2,2012-06-03,SL79,6,1,5,6,SL
2351.37484,2011,F,BLU,112,115,55,86,18.9,2011-06-10,SL44,4,1,4,4,SL
2351.37485,2011,F,BLU,107,110,56,88,20.5,2011-06-10,SL61,6,1,6,6,SL
