band_number,year,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,clutch_size,clutch_number,no_of_young_fledged,number_hatch,location
1831.38676,2011,F,BLU,115,118,53,91,19.7,2011-06-12,MC20,5,1,1,3,MC
1831.38676,2012,F,BLU,115,117,57,88,20.7,2012-06-06,MC79,6,1,5,5,MC
1831.38713,2012,F,BLU,110,112,54,87,20.1,2012-06-05,SL76,5,1,3,3,SL
1831.38797,2011,M,BLU,112,115,56,91,22.5,2011-06-12,MC47,7,1,5,5,MC
1831.388,2010,F,BLU,115,117,55,90,21.8,2010-06-06,SL54,5,1,5,5,SL
1831.3904,2011,F,BLU,114,115,53,90,20.3,2011-06-11,SL39,7,1,5,5,SL
1831.39051,2010,F,BLU,118,120,55,87,19.75,2021-06-01,PT15I,5,1,5,5,PT
1831.39074,2010,M,BLU,124,125,48,98,21.75,2013-06-01,PT06J,6,1,5,6,PT
1831.39074,2011,M,BLU,118,122,55,92,20.2,2011-06-17,PT05J,4,1,2,2,PT
1831.39074,2012,M,BLU,121,124,68,102,20.72,2012-06-04,PT05J,5,1,4,5,PT
1831.39084,2011,F,BLU,115,117,56,92,22.55,2011-06-14,PT11G,6,1,2,2,PT
1881.04234,2010,M,BLU,123,125,56,97,20.5,2010-06-01,PT02F,5,1,5,5,PT
1881.04234,2012,M,BLU,121,125,56,98,22,2012-05-31,PT02F,6,1,0,6,PT
1881.06033,2010,M,BLU,115,117,56,95,21.5,2010-06-06,SL76,4,1,4,4,SL
1881.06033,2011,M,BLU,115,117,55,90,22.1,2011-06-06,SL76,3,1,1,2,SL
1881.06034,2010,F,BLU,114,116,55,92,19.7,2010-06-11,SL19,6,1,6,6,SL
1881.06034,2011,F,BLU,114,116,55,97,20.6,2011-06-05,SL19,4,1,3,3,SL
1881.06071,2010,F,BLU,112,114,53,89,20,2010-06-11,SL43,6,1,0,6,SL
1881.06072,2012,F,BLU,113,114,54,88,19.2,2012-06-03,SL41,5,1,5,5,SL
1881.06089,2010,F,BLU,113,114,54,89,20.4,2010-06-12,SL02,4,1,4,4,SL
1881.06107,2010,M,BLU,118,120.5,56,96,21.2,2010-06-10,MC66,6,1,4,5,MC
1881.0616,2011,M,BLU,114,117,55,90,20.4,2011-06-12,MC79,5,1,5,5,MC
1881.06238,2010,M,BLU,129,130,51,102,22.5,2015-06-01,PT12J,6,1,2,6,PT
1881.06295,2010,M,BLU,119,121,57,90,21,2018-06-01,PT11G,5,1,5,5,PT
