band_or_recapture,band_number,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,age_code,year
R,2351.37025,M,BLU,119,120,54,93,20.2,2017-06-01,PT17D,AHY,2010
R,2311.93711,F,BLU,100,102,55,92,19,2017-06-01,PT3F,ASY,2010
R,2351.37231,M,BLU,116,118,56,93,19.5,2017-06-01,PT15F,AHY,2010
R,2351.37012,F,BLU,114,116,58,91,21.5,2017-06-01,PT18F,ASY,2010
R,2171.20024,M,BLU,117,119,58,93,21.5,2017-06-01,PT18E,AHY,2010
R,1881.0654,M,BLU,123,125,54,99,21.5,2018-06-01,PT4I,AHY,2010
B,2351.39717,F,BLU,117,118,55,92,21.5,2018-06-01,PT41,ASY,2010
R,1831.38571,F,BLU,116,120,56,93,22.6,2018-06-01,PT14G,ASY,2010
R,2351.37108,F,BRO,114,115,53,88,19.8,2018-06-01,PT15F,AHY,2010
R,2311.93693,F,BLU,115,116,55,91,20.6,2018-06-01,PT7J,ASY,2010
R,2171.20022,M,BLU,114,116,55,90,21.5,2018-06-01,PT14G,AHY,2010
R,2171.20032,M,BLU,119,120,56,93,21.5,2018-06-01,PT19F,AHY,2010
B,2351.39718,F,BLU,110,112,56,92,19.5,2018-06-01,PT11I,AHY,2010
R,1771.43727,F,BLU,112,113,54,86,18.5,2018-06-01,PT11I,ASY,2010
R,1881.06295,M,BLU,119,121,57,90,21,2018-06-01,PT11G,AHY,2010
R,2181.78083,M,BLU,121,123,58,94,22.25,2018-06-01,PT07J,AHY,2010
R,2311.93818,M,BLU,120,123,57,98,19,2019-06-01,PT17G,AHY,2010
R,2171.20012,M,BLU,117,120,55,93,18.5,2019-06-01,PT19E,AHY,2010
R,2311.9375,F,BLU,115,119,58,91,19.75,2020-06-01,PT12I,AHY,2010
R,1771.4326,F,BLU,115,119,56,93,21.5,2020-06-01,PT12G,ASY,2010
R,2351.37018,M,BLU,117,119,56,92,21.25,2020-06-01,PT14I,AHY,2010
R,2311.93868,M,BLU,116,118,54,93,21,2020-06-01,PT15I,AHY,2010
R,2171.20076,F,BLU,110,112,55,86,19.75,2020-06-01,PT11J,ASY,2010
R,2351.37013,F,BLU,115,116,56,91,22.25,2021-06-01,PT18G,AHY,2010
R,2311.93644,F,BLU,112,115,54,90,22,2021-06-01,PT14I,AHY,2010
R,2311.93708,M,BLU,115,117,55,96,20,2021-06-01,PT18G,AHY,2010
R,2351.37245,F,BLU,110,111,52,89,19.5,2024-06-01,PT10J,AHY,2010
R,2311.9364,F,BLU,112,114,53,87,20,2024-06-01,PT10K,ASY,2010
R,2181.7829,F,BLU,117,119,56,95,19.5,2024-06-01,PT2J,ASY,2010
B,2351.39867,M,BLU,116,118,59,94,21,2024-06-01,PT10K,AHY,2010
R,1831.388,F,BLU,115,117,55,90,21.8,2010-06-06,SL54,ASY,2010
B,2351.37428,M,BLU,115,116,52,89,20.5,2010-06-06,SL54,AHY,2010
R,1881.06959,F,BLU,116,118,54,92,20.2,2010-06-06,SL39,ASY,2010
R,2221.31611,M,BLU,119,121,57,94,21,2010-06-06,SL39,AHY,2010
R,2311.93486,F,BLU,120,121.5,60,96,19.7,2010-06-06,SL61,ASY,2010
B,2351.37429,M,BLU,120,122,55,94,21.5,2010-06-06,SL61,AHY,2010
R,1921.85074,F,BLU,114,117,54,91,20,2010-06-06,SL72,ASY,2010
R,1771.41084,F,BLU,116,118,54,91,19.5,2010-06-06,SL76,ASY,2010
B,2351.3743,F,BLU,115,117,56,91,20.6,2010-06-06,SL8,ASY,2010
R,1881.06033,M,BLU,115,117,56,95,21.5,2010-06-06,SL76,AHY,2010
B,2351.37431,M,BLU,116,118,55,92,19.5,2010-06-06,SL72,AHY,2010
B,2351.37432,M,BLU,117,118,55,90,21,2010-06-06,SL63,AHY,2010
B,2351.37082,F,BLU,112,113,52,88,20.9,2010-06-07,MC55,ASY,2010
R,2311.93472,F,BLU,112,114,53,89,20,2010-06-07,MC40,ASY,2010
R,1771.43417,M,BLU,119,121,54,97,21.8,2010-06-07,MC55,AHY,2010
B,2351.37083,F,BLU,112,114,55,90,21,2010-06-07,MC75,ASY,2010
B,2351.37084,F,BLU,115,116,54,92,21,2010-06-07,MC34,ASY,2010
B,2351.37085,M,BLU,115,117,53,91,20.8,2010-06-07,MC34,AHY,2010
R,2321.0519,F,BLU,112,114,53,91,21.8,2010-06-07,MC30,ASY,2010
R,2221.31901,M,BLU,112,114,51,89,21,2010-06-07,MC40,AHY,2010
R,2221.31612,F,BLU,114.5,116,52,92,19.5,2010-06-07,SL21,ASY,2010
R,1771.42257,M,BLU,119,122,57,96,20.5,2010-06-07,SL26,AHY,2010
R,2221.310605,M,BLU,119.5,112.5,57,96,21.5,2010-06-07,SL21,AHY,2010
R,1881.06779,F,BLU,111,114,56,88,20,2010-06-07,SL29,ASY,2010
R,1651.06246,M,BLU,121,122,53,96,21.5,2010-06-07,SL29,AHY,2010
R,2311.93872,F,BLU,117,119,54,93,19.73,2010-06-08,SL13,ASY,2010
B,2351.37433,M,BLU,113.5,115.5,50,93,19,2010-06-08,SL12,AHY,2010
R,2221.31605,F,BLU,111,114,52,91,20,2010-06-08,SL10,ASY,2010
R,2221.31738,M,BLU,115,117,60,94,20,2010-06-08,SL10,AHY,2010
B,2351.37434,F,BRO,109,110.5,52,88,18,2010-06-08,SL9,AHY,2010
B,2351.37435,M,BLU,120.5,122.5,55,96,21,2010-06-08,SL8,AHY,2010
R,1881.06924,M,BLU,120.5,123,54,99,21.5,2010-06-08,SL13,AHY,2010
R,1881.06986,F,BLU,108,109,50,83,20.29,2010-06-08,SL42,ASY,2010
B,2351.37436,M,BLU,116,118,53,91,20.3,2010-06-08,SL9,AHY,2010
R,2311.93049,M,BLU,115,118,56,97,18.6,2010-06-08,SL80,AHY,2010
R,2311.93288,F,BLU,115.5,116,53,90,21.35,2010-06-08,SL80,ASY,2010
R,1881.06779,F,BLU,109.5,110.5,53,88,19.74,2010-06-08,SL29,ASY,2010
R,2181.58453,F,BLU,110.5,112,55,89,20.53,2010-06-08,SL77,ASY,2010
B,2351.37437,F,BLU,109,111,52,87,20.5,2010-06-08,SL44,ASY,2010
R,1651.06246,M,BLU,120,122,56,96,22.46,2010-06-08,SL29,AHY,2010
B,2351.37438,F,BRO,110.5,113,50,91,21,2010-06-08,SL65,AHY,2010
R,1881.06793,M,BLU,111.5,112.5,55,88,19.57,2010-06-08,SL77,AHY,2010
B,2351.37086,F,BLU,113,115,55,90,21.4,2010-06-10,MC19,ASY,2010
R,1771.412,F,BLU,112,114,46,92,21.79,2010-06-10,MC33,ASY,2010
R,2311.93234,F,BLU,112,114.5,56.5,90,19.1,2010-06-10,MC39,ASY,2010
B,2351.37087,M,BLU,110,115,52,88,20.5,2010-06-10,MC19,AHY,2010
R,1381.3866,M,BLU,120,122,55,99,21.8,2010-06-10,MC39,AHY,2010
R,1771.42069,F,BLU,112,113,59,89,21.1,2010-06-10,MC66,ASY,2010
R,2311.93468,F,BLU,111,112,54,90,18.5,2010-06-10,MC4,ASY,2010
R,1881.06389,F,BLU,112.5,115,53,89,21.32,2010-06-10,MC46,ASY,2010
R,2311.93467,F,BLU,113,115,53,95,18.5,2010-06-10,MC57,ASY,2010
R,1881.06333,M,BLU,115,116,56,92,20.72,2010-06-10,MC54,AHY,2010
R,2311.93492,F,BLU,106,108,51,87,19.2,2010-06-10,MC43,ASY,2010
R,2221.31954,F,INT,113,116,56,92,20.2,2010-06-10,MC74,ASY,2010
R,1881.06107,M,BLU,118,120.5,56,96,21.2,2010-06-10,MC66,AHY,2010
R,1881.06368,F,BLU,112,116,55,88,18.66,2010-06-10,MC54,ASY,2010
R,2311.93482,F,BLU,108,110,59,85,19.5,2010-06-10,MC16,ASY,2010
R,2221.31954,F,BLU,115,116,53,88,20.3,2010-06-10,MC74,ASY,2010
R,1881.06387,M,BLU,121,123,57,97,20.2,2010-06-10,MC43,AHY,2010
B,2351.37088,F,BLU,109,110,51,87,18.6,2010-06-10,MC8,ASY,2010
R,1831.38676,F,BLU,114,116,52,91,20.56,2010-06-10,MC21,ASY,2010
B,2351.37089,M,BLU,120,122,56,98,20.9,2010-06-10,MC68,AHY,2010
R,2221.31743,M,BLU,121,122,52,96,19.54,2010-06-10,MC4,AHY,2010
R,2221.31802,M,BLU,119,122,59,96,18.9,2010-06-10,MC57,AHY,2010
R,2311.9347,M,BLU,120,122,52,97,20.9,2010-06-10,MC21,AHY,2010
R,2221.31845,M,BLU,117,119,49,94,21.5,2010-06-10,MC74,AHY,2010
B,2351.3709,F,BLU,113.5,116,55,95,20.1,2010-06-10,MC31,ASY,2010
B,2351.37091,M,BLU,123,126,57,91,20.4,2010-06-10,MC30,ASY,2010
R,1881.06392,M,BLU,121,122,58,98,22.1,2010-06-10,MC46,ASY,2010
B,2351.37439,F,INT,116,118,55,92,18.9,2010-06-11,SL71,AHY,2010
R,1881.06942,M,BLU,111,113,51,93,22.08,2010-06-11,SL14,AHY,2010
R,2351.37419,F,INT,107,110,52,88,18.3,2010-06-11,SL18,AHY,2010
B,2351.3744,F,INT,112,115,59,94,19.5,2010-06-11,SL14,ASY,2010
