band_or_recapture,band_number,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,age_code,year
R,1771.42178,F,BLU,114,117,55,88,19.8,2011-06-17,PT15J,ASY,2011
R,2351.39708,F,BLU,111,114,54,88,20.9,2011-06-17,PT16H,ASY,2011
R,2351.37231,M,BLU,118,121,60,94,19.8,2011-06-17,PT15F,AHY,2011
B,2401.78071,M,BLU,115,117,55,91,19,2011-06-17,PT18G,AHY,2011
R,2351.39701,M,BLU,117,120,58,91,19.2,2011-06-19,PT15G,AHY,2011
B,2401.78072,F,INT,112,114,56,89,20.5,2011-06-19,PT15G,AHY,2011
R,2351.39707,F,BLU,112,115,56,89,18.1,2011-06-19,PT8J,ASY,2011
R,2351.37004,F,BLU,110,112,55,86,18.7,2011-06-19,PT6J,ASY,2011
R,2171.2006,F,INT,106,109,55,83,19.9,2011-06-19,PT7G,AHY,2011
R,2181.78203,M,BLU,121,125,58,96,20.9,2011-06-19,PT6J,AHY,2011
R,2351.39713,M,BLU,121,123,59,96,20.6,2011-06-19,PT8J,AHY,2011
R,2311.93665,M,BLU,118,121,53,91,20,2011-06-19,PT7G,AHY,2011
R,2351.39717,F,BLU,116,118,56,90,21.5,2011-06-19,PT4I,ASY,2011
R,1881.0654,M,BLU,119,124,50,95,20.8,2011-06-19,PT4I,AHY,2011
R,1881.06307,F,BLU,109,115,55,85,19.8,2011-06-19,PT1I,ASY,2011
R,2351.37123,M,BLU,117,120,56,92,20.2,2011-06-19,PT1I,AHY,2011
R,1831.38508,F,BLU,109,111,54,85,18.1,2011-06-19,PT1J,ASY,2011
R,2311.9371,F,BLU,112,115,54,89,20.2,2011-06-19,PT4J,ASY,2011
R,2351.3725,F,BRO,111,114,54,86,21,2011-06-19,PT4J,AHY,2011
R,2311.93751,F,BLU,111,116,56,78,19.3,2011-06-19,PT13G,ASY,2011
B,2401.73073,M,BLU,113,116,55,88,19.1,2011-06-19,PT4J,AHY,2011
R,2351.37019,M,BLU,115,118,60,93,21.3,2011-06-19,PT11H,AHY,2011
R,1881.06436,F,BLU,111,115,55,89,23.6,2011-06-19,PT11H,ASY,2011
R,1831.38403,M,BLU,124,127,58,98,21.2,2011-06-20,PT13H,AHY,2011
B,2401.78074,F,BLU,115,118,55,91,20.9,2011-06-20,PT13H,ASY,2011
R,2351.39705,F,BLU,113,116,54,90,19.8,2011-06-20,PT14J,ASY,2011
R,2171.20057,M,BLU,117,119,56,93,19.5,2011-06-20,PT14J,AHY,2011
R,2311.364,F,BLU,112,115,55,87,19.5,2011-06-20,PT10K,ASY,2011
R,2311.9367,F,INT,114,118,57,89,21.3,2011-06-20,PT14I,AHY,2011
R,2351.39738,M,BLU,118,121,55,93,20.5,2011-06-20,PT14I,AHY,2011
R,2351.39761,M,BLU,113,115,52,88,19.3,2011-06-20,PT10K,AHY,2011
R,2311.9362,M,BLU,117,119,55,91,20,2011-06-20,PT13G,AHY,2011
B,2401.78078,M,BLU,116,117,53,90,19.5,2011-06-20,PT12I,AHY,2011
B,2401.78079,F,BLU,113,115,57,89,20.1,2011-06-20,PT19E,ASY,2011
R,2171.20012,M,BLU,125,127,56,91,19.7,2011-06-20,PT19E,AHY,2011
B,2401.7808,F,BLU,120,124,54,86,20.4,2011-06-20,PT12I,ASY,2011
B,2401.78081,M,BLU,116,119,57,90,19.5,2011-06-20,PT10G,AHY,2011
B,2401.78082,F,INT,117,119,58,91,20.6,2011-06-20,PT10G,AHY,2011
B,2401.78083,F,BLU,114,117,55,89,20.4,2011-06-20,PT12H,ASY,2011
R,2351.3971,M,BLU,117,120,58,91,21.2,2011-06-20,PT16J,AHY,2011
B,2401.78084,M,BLU,115,117,55,90,20.9,2011-06-20,PT12H,AHY,2011
B,2401.78085,F,BLU,112,116,56,87,20.8,2011-06-20,PT16J,ASY,2011
B,2401.78086,M,BLU,120,124,54,95,22.2,2011-06-21,PT16F,AHY,2011
R,2351.37025,M,BLU,116,118,56,92,20,2011-06-21,PT17D,AHY,2011
R,2311.93844,F,BLU,114,116,55,89,22.3,2011-06-21,PT10J,ASY,2011
R,2181.78083,M,BLU,118,122,58,91,22.2,2011-06-21,PT7J,AHY,2011
R,2351.37262,M,BLU,118,121,56,94,20.2,2011-06-21,PT10J,AHY,2011
R,2311.93292,F,BLU,115,118,57,90,20.7,2011-06-21,PT7J,ASY,2011
R,1831.38581,F,BLU,114,117,58,88,22.4,2011-06-21,PT16F,ASY,2011
R,2351.39764,M,BLU,115,116,53,88,21,2011-06-22,PT10J,AHY,2011
R,2351.37022,F,INT,115,118,55,89,21.1,2011-06-22,PT17D,AHY,2011
R,2311.9349,M,BLU,119,121,59,95,19.3,2011-06-10,SL64,AHY,2011
R,1771.41084,F,BLU,115,117,55,95,20.4,2011-06-05,SL76,ASY,2011
R,1771.41146,F,BLU,114,116,58,88,20.5,2011-06-13,SL1,ASY,2011
R,1771.41229,F,BLU,115,119,56,91,21,2011-06-12,MC26,ASY,2011
R,1771.42264,F,BLU,113,114,51,89,20.3,2011-06-09,SL6,ASY,2011
R,1771.42388,F,BLU,109,111,54,89,17.3,2011-06-15,SL59,ASY,2011
R,1771.43291,M,BLU,113,116,56,91,19.9,2011-06-13,MC58,AHY,2011
R,1771.43292,F,INT,111,117,57,89,19.47,2011-06-05,MC27,AHY,2011
R,1771.43309,F,BLU,115,117,56,88,22.2,2011-06-11,SL20,ASY,2011
R,1771.43399,M,BLU,117,119.5,56,96,20.4,2011-06-14,MC23,AHY,2011
R,1771.43719,M,BLU,118,120,57,94,21.2,2011-06-13,SL70,AHY,2011
R,1771.43976,F,BLU,113,115,59,90,20.1,2011-06-19,SL26,ASY,2011
R,1831.38635,M,BLU,119,123,56,92,21.05,2011-06-05,MC63,AHY,2011
R,1831.3864,M,BLU,113,118,54,95,20.3,2011-06-12,MC6,AHY,2011
R,1831.38676,F,BLU,115,118,53,91,19.7,2011-06-12,MC20,ASY,2011
R,1831.38797,M,BLU,112,115,56,91,22.5,2011-06-12,MC47,AHY,2011
R,1831.3904,F,BLU,114,115,53,90,20.3,2011-06-11,SL39,ASY,2011
R,1881.06033,M,BLU,115,117,55,90,22.1,2011-06-06,SL76,AHY,2011
R,1881.06034,F,BLU,114,116,55,97,20.6,2011-06-05,SL19,ASY,2011
R,1881.0616,M,BLU,114,117,55,90,20.4,2011-06-12,MC79,AHY,2011
R,1881.06362,F,BLU,110,112,53,88,21.3,2011-06-09,SL71,ASY,2011
R,1881.06378,F,BLU,115,118,54,91,20,2011-06-11,MC38,ASY,2011
R,1881.06382,F,BLU,115,117,57,95,19.7,2011-06-12,MC2,ASY,2011
R,1881.06389,F,BLU,113,115,52,90,21.1,2011-06-12,MC46,ASY,2011
R,1881.06389,F,BLU,113,116,53,88,19.3,2011-06-13,MC46,ASY,2011
R,1881.06392,M,BLU,124,126,56,99,22.2,2011-06-12,MC46,AHY,2011
R,1881.06771,M,BLU,117,120,56,92,20,2011-06-13,SL72,AHY,2011
R,1881.06779,F,BLU,110,114,54,87,18.8,2011-06-15,SL29,ASY,2011
R,1881.06802,M,BLU,118,120,56,91,20.5,2011-06-13,MC70,AHY,2011
R,1881.0684,M,BLU,115,118,54,90,20.4,2011-06-11,MC11,AHY,2011
R,1881.0692,M,BLU,122,124,56,93,22.3,2011-06-11,SL20,AHY,2011
R,1881.06924,M,BLU,119,124,54,98,21.9,2011-06-05,SL13,AHY,2011
B,1881.06925,M,BLU,118,120,56,94,21.4,2011-06-19,SL42,AHY,2011
R,1881.06926,F,BLU,109,111,53,87,18.7,2011-06-15,SL50,ASY,2011
R,1881.06932,M,BLU,120,122,56,95,20.5,2011-06-15,SL34,AHY,2011
R,1881.06933,M,BLU,118,120,57,96,18.9,2011-06-17,SL38,AHY,2011
R,1881.06936,M,BLU,120,123,57,96,21.1,2011-06-08,SL14,AHY,2011
R,1881.06953,F,BLU,116,118,59,93,20.5,2011-06-17,SL4,ASY,2011
R,1881.06966,M,BLU,118,121,57,93,22,2011-06-05,SL19,AHY,2011
R,1881.06968,M,BLU,121,123,57,97,21.8,2011-06-09,SL6,AHY,2011
R,1881.06969,M,BLU,116,118,53,94,20.5,2011-06-10,SL22,AHY,2011
R,1881.06971,M,BLU,117,119,55,91,19.1,2011-06-10,SL61,AHY,2011
R,1881.06986,F,INT,106,108,49,88,20.3,2011-06-17,SL42,AHY,2011
R,1881.0699,F,BLU,112,114,55,89,19.5,2011-06-13,MC76,ASY,2011
R,2171.20084,M,BLU,115,117,52,94,20,2011-06-13,SL7,AHY,2011
R,2171.20086,F,BLU,111,113,53,89,19.1,2011-06-17,SL5,ASY,2011
R,2171.20093,F,BLU,112,114,56,89,21.2,2011-06-17,SL78,ASY,2011
R,2171.20095,M,BLU,116,121,60,95,20.7,2011-06-17,SL43,AHY,2011
R,2171.20098,F,BLU,116,118,57,94,20.6,2011-06-17,SL23,ASY,2011
R,2181.58453,F,BLU,109,112,55,87,19.5,2011-06-05,SL77,ASY,2011
R,2221.31605,M,BLU,120,122,53,96,21.6,2011-06-17,SL21,AHY,2011
R,2221.317,M,BLU,119,122,60,95,19.9,2011-06-12,MC72,AHY,2011
R,2221.31734,M,BLU,116,120,54,92,20.4,2011-06-13,MC35,AHY,2011
R,2221.31734,M,BLU,115,118,55,91,20.4,2011-06-17,MC35,AHY,2011
R,2221.31738,M,BLU,117,120,57,93,20.3,2011-06-10,SL12,AHY,2011
R,2221.31763,M,BLU,120,123,55,97,20.9,2011-06-10,MC69,AHY,2011
R,2221.31802,M,BLU,119,120,59,94,19.2,2011-06-13,MC57,AHY,2011
R,2221.31831,F,BLU,112,114,54,91,21.8,2011-06-05,SL18,ASY,2011
R,2221.31845,M,BLU,116,120,55,95,21.8,2011-06-17,MC74,AHY,2011
R,2221.3191,M,BLU,117,119,55,94,21.4,2011-06-09,MC50,AHY,2011
R,2221.31946,F,BLU,113,115,55,92,21.1,2011-06-12,MC18,ASY,2011
R,2221.31965,F,BLU,114,116,54,88,20.5,2011-06-11,MC14,ASY,2011
R,2221.31976,F,BLU,111,114,56,85,19,2011-06-07,MC5,ASY,2011
R,2311.93046,M,BLU,119,121,56,95,21,2011-06-07,MC68,AHY,2011
R,2311.93049,M,BLU,118,119,56,93,18.9,2011-06-09,SL80,AHY,2011
R,2311.93056,F,BLU,115,116,58,94,18.2,2011-06-13,MC57,ASY,2011
R,2311.9308,F,BLU,115,117,56,91,19.8,2011-06-12,MC64,ASY,2011
R,2311.93145,F,BLU,113,116,55,92,20.4,2011-06-14,MC74,ASY,2011
R,2311.93234,F,BLU,115,118,57,88,19.5,2011-06-13,MC70,ASY,2011
R,2311.93257,M,BLU,116,118,57,89,21.1,2011-06-11,MC16,AHY,2011
R,2311.93288,F,BLU,117,119,54,93,21.7,2011-06-13,SL53,ASY,2011
R,2311.933,M,BLU,117,121,55,94,19.9,2011-06-09,SL35,AHY,2011
R,2311.93384,F,INT,115,117,55,91,21,2011-06-13,SL63,AHY,2011
R,2311.93466,F,BLU,114,116,55,91,21.3,2011-06-04,MC63,ASY,2011
R,2311.93473,F,BLU,111,114,57,92,20.7,2011-06-14,MC29,ASY,2011
R,2311.93475,M,BLU,114,117,54,92,21.2,2011-06-12,MC18,AHY,2011
R,2311.93485,M,BLU,121,123,58,96,22.5,2011-06-05,SL52,AHY,2011
R,2311.93492,F,BLU,107,109,51,88,20.4,2011-06-12,MC47,ASY,2011
R,2311.93495,F,BLU,113,115,53,93,22.1,2011-06-12,MC6,ASY,2011
R,2311.93497,F,BLU,112,114,52,92,20.4,2011-06-17,MC19,ASY,2011
R,2311.93498,M,BLU,115,117,54,90,18.9,2011-06-12,MC26,AHY,2011
R,2311.9387,F,BLU,116,118,54,94,20.8,2011-06-13,SL55,ASY,2011
R,2311.93871,F,INT,110,113,51,90,20.1,2011-06-17,SL21,AHY,2011
R,2311.93872,F,BLU,115,118,55,93,21.8,2011-06-03,SL13,ASY,2011
R,2311.93908,M,BLU,119,121,57,93,21.6,2011-06-13,SL63,AHY,2011
R,2311.93943,F,BLU,115,117,55,96,20.2,2011-06-15,SL31,ASY,2011
R,2311.93955,M,BLU,114,117,56,89,18,2011-06-07,MC44,AHY,2011
R,2311.93972,F,BLU,115,118,55,94,18.9,2011-06-15,SL34,ASY,2011
R,2351.37082,F,BLU,109,111,54,90,20.9,2011-06-05,SL52,ASY,2011
R,2351.37085,M,BLU,114,116,54,88,20.9,2011-06-12,MC32,AHY,2011
R,2351.37086,F,BLU,111,114,53,89,22,2011-06-12,MC32,ASY,2011
R,2351.37088,F,BLU,109,111,55,86,20.2,2011-06-11,MC3,ASY,2011
R,2351.37088,F,BLU,109,111,55,89,19.4,2011-06-12,MC3,ASY,2011
R,2351.3709,F,BLU,114,117,55,91,23.78,2011-06-02,MC31,ASY,2011
R,2351.37097,F,BLU,109,111,50,88,18.62,2011-06-05,MC68,ASY,2011
R,2351.37098,F,BLU,112,114,54,92,21.6,2011-06-09,MC50,ASY,2011
R,2351.37099,F,BLU,117,119,54,95,21.6,2011-06-09,MC35,ASY,2011
R,2351.37099,F,BLU,116,118,56,96,20.8,2011-06-11,MC35,ASY,2011
R,2351.37099,F,BLU,116,120,55,89,20.2,2011-06-13,MC35,ASY,2011
R,2351.37099,F,INT,114,116,56,95,20.3,2011-06-17,MC34,AHY,2011
R,2351.371,M,BLU,124,126,55,97,21.2,2011-06-12,MC52,AHY,2011
R,2351.37302,F,BLU,114,115,54,90,22.2,2011-06-11,MC16,ASY,2011
R,2351.37304,M,BLU,118,119,58,93,20.1,2011-06-18,MC13,AHY,2011
R,2351.37309,M,BLU,117,119,53,98,21.3,2011-06-11,SL74,AHY,2011
R,2351.37324,F,INT,111,114,55,88,19.9,2011-06-13,MC54,AHY,2011
R,2351.37402,M,BLU,117,118,57,94,21.1,2011-06-11,SL39,AHY,2011
R,2351.37406,M,BLU,116,119,56,96,19.8,2011-06-11,SL2,AHY,2011
R,2351.37419,F,INT,110,112,55,91,20.9,2011-06-11,SL73,AHY,2011
R,2351.37427,F,BLU,116,118,55,89,17.6,2011-06-15,SL49,ASY,2011
R,2351.3743,F,BLU,115,117,56,93,21.4,2011-06-05,SL68,ASY,2011
R,2351.37432,F,BLU,109,111,50,87,20.2,2011-06-13,SL62,ASY,2011
R,2351.37435,M,BLU,120,122,55,96,21,2011-06-09,SL8,AHY,2011
R,2351.37436,M,BLU,115,117,54,95,21,2011-06-10,SL9,AHY,2011
R,2351.37437,F,BLU,108,111,53,89,19.9,2011-06-03,SL57,ASY,2011
R,2351.37439,F,BLU,112,116,56,86,19.5,2011-06-10,SL12,ASY,2011
R,2351.3744,F,BLU,113,115,58,91,20.5,2011-06-09,SL80,ASY,2011
R,2351.37441,F,BLU,113,115,53,91,22.4,2011-06-11,SL14,ASY,2011
R,2351.37442,M,BLU,119,121,57,98,21.2,2011-06-05,SL18,AHY,2011
R,2351.37448,M,BLU,118,119,55,98,20.9,2011-06-15,SL59,AHY,2011
R,2351.37449,F,BLU,110,112,53,88,23.4,2011-06-11,SL2,ASY,2011
R,2351.3745,M,BLU,112,115,53,89,20.1,2011-06-10,SL11,AHY,2011
R,2351.37451,M,BLU,121,123,56,96,20.4,2011-06-17,SL57,AHY,2011
R,2351.37454,M,BLU,120,122,58,98,21.7,2011-06-17,SL68,AHY,2011
R,2351.37456,M,BLU,115,117,53,89,21.5,2011-06-17,SL5,AHY,2011
R,2351.37457,M,BLU,116,121,57,96,20.5,2011-06-15,SL50,AHY,2011
R,2351.37459,M,BLU,118,120,58,94,20.7,2011-06-19,SL58,AHY,2011
R,2351.37462,F,BLU,109,110,52,83,18.9,2011-06-17,SL79,ASY,2011
R,2351.37466,F,INT,114,116,55,91,18.9,2011-06-17,SL38,AHY,2011
R,2351.37468,M,BLU,116,119,53,91,24.3,2011-06-13,SL1,AHY,2011
R,2351.37469,F,BLU,109,112,52,83,20.3,2011-06-13,SL70,ASY,2011
R,2351.3747,M,BLU,117,119,53,97,19.6,2011-06-05,SL30,AHY,2011
R,2351.37472,F,INT,112,114,54,91,19,2011-06-09,MC11,ASY,2011
R,2351.37472,F,BLU,113,116,56,89,20.1,2011-06-11,MC11,ASY,2011
B,2351.37474,F,BLU,111,116,55,92,22.8,2011-06-03,SL27,ASY,2011
B,2351.37475,M,BLU,119,125,56,97,21.7,2011-06-03,SL27,AHY,2011
B,2351.37476,M,BLU,114,116,54,92,21,2011-06-05,SL77,AHY,2011
B,2351.37477,F,BLU,111,114,55,88,22.2,2011-06-05,SL30,ASY,2011
B,2351.37478,F,BLU,116,120,56,92,19.6,2011-06-06,SL25,ASY,2011
B,2351.37479,M,BLU,125,127,59,96,22,2011-06-06,SL25,AHY,2011
B,2351.3748,F,BLU,115,117,56,91,20.5,2011-06-08,SL41,ASY,2011
B,2351.37481,M,BLU,116,120,54,91,21.3,2011-06-08,SL41,AHY,2011
B,2351.37482,F,BLU,116,119,55,94,20.4,2011-06-09,SL8,ASY,2011
B,2351.37483,F,BLU,111,113,55,92,20.6,2011-06-09,SL35,ASY,2011
B,2351.37484,F,BLU,112,115,55,86,18.9,2011-06-10,SL44,ASY,2011
B,2351.37485,F,BLU,107,110,56,88,20.5,2011-06-10,SL61,ASY,2011
B,2351.37486,M,BLU,118,121,58,93,20.2,2011-06-10,SL44,AHY,2011
B,2351.37487,F,BLU,110,112,53,85,20,2011-06-10,SL11,ASY,2011
B,2351.37488,F,BLU,116,120,60,91,21.1,2011-06-10,SL69,ASY,2011
B,2351.3749,M,BLU,113,117,55,92,20.8,2011-06-11,SL14,AHY,2011
B,2351.37491,F,BLU,110,113,52,89,19.3,2011-06-11,SL58,ASY,2011
B,2351.37492,M,BLU,113,114,52,87,19.7,2011-06-11,SL73,AHY,2011
B,2351.37493,M,BLU,118,121,55,95,20.7,2011-06-11,SL24,AHY,2011
B,2351.37494,F,BLU,115,118,55,92,20.1,2011-06-13,SL54,ASY,2011
B,2351.37495,M,BLU,111,113,54,90,20.3,2011-06-13,SL69,AHY,2011
B,2351.37496,M,BLU,110,112,53,90,22.3,2011-06-13,SL54,AHY,2011
B,2351.37497,M,BLU,118,121,51,93,20,2011-06-13,SL45,AHY,2011
B,2351.37498,F,BLU,112,115,53,89,19.1,2011-06-13,SL60,ASY,2011
B,2351.37499,F,BLU,111,114,52,90,21.1,2011-06-13,SL72,ASY,2011
B,2351.375,F,INT,112,115,54,92,18.8,2011-06-13,SL16,AHY,2011
R,2351.37503,F,BLU,113,115,52,86,21.4,2011-06-10,SL64,ASY,2011
R,2351.37508,F,BLU,113,116,54,92,22.2,2011-06-08,SL17,ASY,2011
R,2351.37538,F,BLU,110,112,52,90,19.1,2011-06-10,SL22,ASY,2011
R,2351.37565,M,BLU,112,115,57,93,21.1,2011-06-15,SL31,AHY,2011
R,2351.37581,F,INT,111,113,54,87,19.2,2011-06-19,SL48,AHY,2011
R,2351.37594,F,INT,108,110,53,87,21.2,2011-06-10,MC28,AHY,2011
R,2351.37594,F,INT,108,110,53,88,20.9,2011-06-10,MC35,AHY,2011
R,2351.37597,F,BLU,114,115.5,51.5,89,21.6,2011-06-11,SL74,ASY,2011
R,2351.37603,M,BLU,118,121,57,91,21.1,2011-06-13,MC25,AHY,2011
R,2351.37606,M,BLU,121,123,50,96,19.9,2011-06-17,MC19,AHY,2011
R,2351.3766,M,BLU,118,122,58,92,20.2,2011-06-05,MC45,AHY,2011
R,2351.37691,M,BLU,120,124,56,96,20,2011-06-10,MC36,AHY,2011
R,2351.37696,M,BLU,115,119,57,94,20.5,2011-06-12,MC15,AHY,2011
R,2351.37714,F,BLU,113,114,55,90,19.3,2011-06-13,SL15,ASY,2011
R,2351.3777,F,BLU,109.5,110,51,84,20.5,2011-06-11,SL24,ASY,2011
R,2351.37814,M,BLU,115,118,54,91,20.97,2011-06-11,MC56,AHY,2011
R,2351.37814,M,BLU,113,116,56,94,20.1,2011-06-17,MC56,AHY,2011
R,2351.37828,M,BLU,113,116,55,89,21,2011-06-14,MC37,AHY,2011
R,2351.37864,M,BLU,121,123,54,96,19.85,2011-06-02,MC40,AHY,2011
R,2351.3787,F,BLU,113,116,52,89,21.6,2011-06-12,MC79,ASY,2011
R,2351.3787,F,BLU,110,112,55,90,21.5,2011-06-12,MC79,ASY,2011
R,2351.37902,M,BLU,112,113,56,90,19.1,2011-06-18,MC75,AHY,2011
R,2351.37903,M,BLU,113,115,52,93,20.3,2011-06-13,SL10,AHY,2011
R,2351.37937,F,INT,108,110,52,84,19,2011-06-12,MC78,AHY,2011
R,2351.37942,F,BLU,115,119,57,91,18.7,2011-06-05,MC44,ASY,2011
R,2351.37955,M,BLU,119,120,53,92,21.3,2011-06-09,SL71,AHY,2011
R,2351.93958,F,BLU,116,117,55,95,19.3,2011-06-15,SL67,ASY,2011
R,2401.37598,M,BLU,116,118,54,91,19,2011-06-17,MC34,AHY,2011
R,2401.77101,F,BLU,111,114,54,89,19.1,2011-06-09,MC17,ASY,2011
R,2401.77104,F,BLU,112,116,55,91,21.2,2011-06-11,MC59,ASY,2011
R,2401.77107,M,BLU,114,116,55,96,20.9,2011-06-12,MC2,AHY,2011
R,2401.77108,M,BLU,118,121,56,93,20.5,2011-06-07,MC5,AHY,2011
R,2401.77109,M,BLU,115,116,52,88,21.5,2011-06-11,MC59,AHY,2011
R,2401.77114,M,BLU,112,114,55,88,19.6,2011-06-12,MC64,AHY,2011
R,2401.77116,M,BLU,116,119,56,91,20.9,2011-06-13,MC76,AHY,2011
B,2401.77119,F,INT,114,116,56,89,18.84,2011-06-02,MC40,AHY,2011
B,2401.7712,M,BLU,117,121,57,94,21.87,2011-06-02,MC31,AHY,2011
B,2401.77121,F,BLU,112,115,52,89,21.7,2011-06-04,MC62,ASY,2011
B,2401.77122,F,BLU,112,115,54,87,22.5,2011-06-05,MC45,ASY,2011
B,2401.77123,M,BLU,114,119,56,88,20.7,2011-06-07,MC62,AHY,2011
B,2401.77124,M,BLU,118,121,56,91,21,2011-06-07,MC27,AHY,2011
B,2401.77125,F,BLU,112,114,53,90,22,2011-06-07,MC4,ASY,2011
B,2401.77126,F,BLU,113,115,53,92,22,2011-06-09,MC36,ASY,2011
B,2401.77127,F,BRO,109,112,53,89,22.4,2011-06-09,MC69,ASY,2011
B,2401.77128,F,INT,111,113,52,90,19.3,2011-06-10,MC80,AHY,2011
R,2401.77128,F,BLU,110,114,54,86,18.5,2011-06-11,MC80,ASY,2011
B,2401.77129,M,BLU,114,118,53,90,20.3,2011-06-10,MC17,AHY,2011
B,2401.77131,M,BLU,117,119,55,93,20.7,2011-06-10,MC24,AHY,2011
B,2401.77132,F,BLU,108,110,52,84,20.2,2011-06-11,MC75,ASY,2011
B,2401.77133,F,BLU,115,117,58,88,22.9,2011-06-11,MC65,ASY,2011
B,2401.77134,M,BLU,114,116,54,89,18.7,2011-06-11,MC80,AHY,2011
B,2401.77135,M,BLU,118,121,57,90,22.2,2011-06-11,MC38,AHY,2011
B,2401.77136,M,BLU,118,120,55,92,20.2,2011-06-11,MC3,AHY,2011
R,2401.77136,M,BLU,119,121,55,95,20.2,2011-06-12,MC3,AHY,2011
B,2401.77137,M,BLU,118,120,51,92,20.6,2011-06-11,MC65,AHY,2011
B,2401.77138,F,BLU,112,113,56,88,19.4,2011-06-11,MC56,ASY,2011
R,2401.77138,F,BLU,114,115.5,54,91,19,2011-06-12,MC56,ASY,2011
R,2401.77138,F,BLU,112,114,54,93,19,2011-06-17,MC56,ASY,2011
R,2401.77139,M,BLU,119,122,57,93,22.5,2011-06-11,MC14,AHY,2011
B,2401.7714,M,BLU,121,122,56,97,21.3,2011-06-12,MC77,AHY,2011
B,2401.77141,F,INT,116,117,60,94,20.8,2011-06-12,MC77,AHY,2011
B,2401.77142,F,BLU,114,116,56,89,19.5,2011-06-12,MC52,ASY,2011
B,2401.77143,F,BLU,115,119,56,93,20,2011-06-12,MC58,ASY,2011
B,2401.77144,F,BLU,112,115,55,90,20.9,2011-06-12,MC72,ASY,2011
B,2401.77145,F,BLU,112,115,55,89,19.5,2011-06-12,MC21,ASY,2011
R,2401.77146,F,BLU,114,116,58,90,20.5,2011-06-12,MC23,ASY,2011
B,2401.77147,M,BLU,118,120,55,91,20.8,2011-06-12,MC78,AHY,2011
B,2401.77148,M,BLU,122,125,51,97,19.9,2011-06-12,MC20,AHY,2011
R,2401.77149,M,BLU,118,119,55,90,20.2,2011-06-12,MC21,AHY,2011
B,2401.7715,F,BRO,110,112,52,89,22.8,2011-06-12,MC67,ASY,2011
B,2401.77151,F,BLU,112,116,54,90,20.9,2011-06-12,MC15,ASY,2011
B,2401.77152,M,BLU,116,118,55,97,20.9,2011-06-12,MC53,AHY,2011
B,2401.77153,F,INT,111,113,55,90,18.55,2011-06-12,MC53,AHY,2011
B,2401.77154,M,BLU,115,119,54,91,18.4,2011-06-13,MC22,AHY,2011
B,2401.77155,F,BLU,110,112,54,88,20.3,2011-06-13,MC25,ASY,2011
B,2401.77156,M,BLU,117,120,56,92,21.2,2011-06-13,MC54,AHY,2011
B,2401.77157,F,INT,111,114,54,90,19.7,2011-06-14,MC48,AHY,2011
B,2401.77158,M,BLU,113,115,48,89,18.5,2011-06-14,MC48,AHY,2011
B,2401.77159,M,BLU,118,120,57,85,21.4,2011-06-14,MC67,AHY,2011
B,2401.7716,F,BLU,111,114,52,86,19.2,2011-06-14,MC12,ASY,2011
B,2401.77161,M,BLU,115,118,53,89,21.1,2011-06-17,MC29,AHY,2011
B,2401.77162,F,INT,113,116,49,87,20.5,2011-06-18,MC51,AHY,2011
B,2401.77163,F,BRO,110,112,51,87,17.9,2011-06-18,MC24,ASY,2011
B,2401.77164,F,INT,113,115,56,89,19.9,2011-06-18,MC13,AHY,2011
B,2401.77201,F,INT,115,117,53,94,20.2,2011-06-13,SL45,AHY,2011
B,2401.77202,F,BLU,110,111,53,89,18.3,2011-06-13,SL10,ASY,2011
B,2401.77203,M,BLU,117,119,57,91,20.9,2011-06-13,SL16,AHY,2011
B,2401.77204,M,BLU,115,117,55,92,21,2011-06-13,SL3,AHY,2011
B,2401.77205,F,BLU,114,116,53,91,20.3,2011-06-13,SL7,ASY,2011
B,2401.77206,F,INT,110,112,56,90,20.5,2011-06-13,SL3,AHY,2011
B,2401.77207,F,BLU,121,123,55,95,19.2,2011-06-13,SL65,ASY,2011
B,2401.77208,M,BLU,114,116,57,90,19.2,2011-06-13,SL65,AHY,2011
B,2401.77209,M,BLU,119,120,57,87,19.8,2011-06-15,SL49,AHY,2011
B,2401.7721,M,BLU,114,117,54,90,20.9,2011-06-15,SL62,AHY,2011
B,2401.77211,M,BLU,116,118,55,91,20.5,2011-06-15,MC53,AHY,2011
B,2401.77212,M,BLU,115,116,55,94,18.5,2011-06-15,MC29,AHY,2011
B,2401.77213,F,INT,116,118,59,91,21,2011-06-17,SL66,AHY,2011
B,2401.77214,M,BLU,117,119,55,92,20,2011-06-17,SL4,AHY,2011
B,2401.77215,M,BLU,120,121,53,96,20,2011-06-17,SL78,AHY,2011
B,2401.77216,M,BLU,120,122,54,97,20.5,2011-06-17,SL23,AHY,2011
B,2401.77217,F,BRO,112,114,55,88,20.5,2011-06-17,SL28,ASY,2011
B,2401.77218,F,BRO,110,112,52,89,19.4,2011-06-17,SL43,ASY,2011
B,2401.77219,M,BLU,109,111,56,89,21.8,2011-06-19,SL26,AHY,2011
R,2401.77523,M,BLU,116,118,53,92,19.2,2011-06-17,SL66,AHY,2011
R,2401.77639,M,BLU,116,119,56,92,19.8,2011-06-14,MC12,AHY,2011
R,2401.77777,M,BLU,115,117,56,94,18.3,2011-06-15,SL67,AHY,2011
R,2401.7785,F,BRO,107,109,53,84,18.7,2011-06-13,MC22,ASY,2011
B,2411.77211,M,BLU,116,118,55,91,20.5,2011-06-15,SL53,AHY,2011
