year,tree_no,ring_width_mm,stand
1958,4,1.37,2
1958,5,1.47,2
1958,6,0.97,2
1958,7,2.01,2
1958,8,1.75,2
1958,9,1.34,2
1958,10,1.94,2
1959,1,1.76,2
1959,2,1.26,2
1959,3,1.6,2
1959,4,1.28,2
1959,5,1.39,2
1959,6,1.07,2
1959,7,2.77,2
1959,8,1.54,2
1959,9,1.8,2
1959,10,2.12,2
1960,1,1.85,2
1960,2,1.65,2
1960,3,2.06,2
1960,4,1.31,2
1960,5,1.76,2
1960,6,1.04,2
1960,7,2.97,2
1960,8,2.13,2
1960,9,2.02,2
1960,10,3,2
1961,1,1.59,2
1961,2,2.11,2
1961,3,1.99,2
1961,4,1.45,2
1961,5,1.57,2
1961,6,1.65,2
1961,7,2.78,2
1961,8,2.05,2
1961,9,1.57,2
1961,10,2.76,2
1962,1,2,2
1962,2,2.05,2
1962,3,1.96,2
1962,4,1.41,2
1962,5,1.9,2
1962,6,1.19,2
1962,7,2.55,2
1962,8,1.68,2
1962,9,1.65,2
1962,10,2.79,2
1963,1,2.29,2
1963,2,2.44,2
1963,3,2.17,2
1963,4,1.95,2
1963,5,2.04,2
1963,6,1.28,2
1963,7,2.47,2
1963,8,2.07,2
1963,9,1.51,2
1963,10,3.2,2
1964,1,1.49,2
1964,2,2.06,2
1964,3,1.91,2
1964,4,1.15,2
1964,5,1.82,2
1964,6,1.25,2
1964,7,2.05,2
1964,8,1.86,2
1964,9,1.82,2
1964,10,2.88,2
1965,1,1.7,2
1965,2,1.99,2
1965,3,2.05,2
1965,4,0.77,2
1965,5,1.83,2
1965,6,1.02,2
1965,7,2.34,2
1965,8,2.08,2
1965,9,1.88,2
1965,10,3.53,2
1966,1,1.17,2
1966,2,1.54,2
1966,3,1.36,2
1966,4,0.48,2
1966,5,1.24,2
1966,6,0.68,2
1966,7,1.26,2
1966,8,1.75,2
1966,9,1.2,2
1966,10,2.06,2
1967,1,1.17,2
1967,2,1.3,2
1967,3,1.02,2
1967,4,0.55,2
1967,5,0.97,2
1967,6,0.48,2
1967,7,0.69,2
1967,8,0.53,2
1967,9,0.83,2
1967,10,0.61,2
1968,1,1.3,2
1968,2,1.26,2
1968,3,1.29,2
1968,4,0.69,2
1968,5,1.35,2
1968,6,0.59,2
1968,7,1.25,2
1968,8,0.47,2
1968,9,1.11,2
1968,10,0.52,2
1969,1,1.9,2
1969,2,1.29,2
1969,3,1.56,2
1969,4,0.84,2
1969,5,1.38,2
1969,6,0.48,2
1969,7,1.1,2
1969,8,1.04,2
1969,9,1.32,2
1969,10,1.33,2
1970,1,2.08,2
1970,2,1.66,2
1970,3,1.35,2
1970,4,1.23,2
1970,5,1.72,2
1970,6,0.91,2
1970,7,1.14,2
1970,8,1.41,2
1970,9,1.36,2
1970,10,1.63,2
1971,1,1.8,2
1971,2,1.72,2
1971,3,1.17,2
1971,4,1.45,2
1971,5,1.42,2
1971,6,0.93,2
1971,7,0.98,2
1971,8,1.9,2
1971,9,1.54,2
1971,10,1.6,2
1972,1,2.01,2
1972,2,1.85,2
1972,3,1.54,2
1972,4,1.21,2
1972,5,1.59,2
1972,6,1.13,2
1972,7,1.03,2
1972,8,2.05,2
1972,9,1.62,2
1972,10,1.82,2
1973,1,1.99,2
1973,2,1.85,2
1973,3,1.38,2
1973,4,1.17,2
1973,5,1.94,2
1973,6,1,2
1973,7,1.01,2
1973,8,1.91,2
1973,9,1.8,2
1973,10,1.74,2
1974,1,1.81,2
1974,2,1.92,2
1974,3,1.34,2
1974,4,1.46,2
1974,5,1.31,2
1974,6,0.88,2
1974,7,0.76,2
1974,8,1.41,2
1974,9,1.45,2
1974,10,1.29,2
1975,1,2.25,2
1975,2,1.77,2
1975,3,1.29,2
1975,4,1.44,2
1975,5,1.32,2
1975,6,0.76,2
1975,7,1.01,2
1975,8,2.04,2
1975,9,1.66,2
1975,10,1.38,2
1976,1,1.93,2
1976,2,1.88,2
1976,3,2.27,2
1976,4,1.56,2
1976,5,1.24,2
