year,tree_no,ring_width_mm,stand
1953,1,4.37,BP
1953,2,3.31,BP
1953,3,2.98,BP
1953,4,1.7,BP
1953,6,3.27,BP
1953,9,5.55,BP
1953,10,4.26,BP
1954,1,3.43,BP
1954,2,3.97,BP
1954,3,3.81,BP
1954,4,1.86,BP
1954,6,3.29,BP
1954,9,4.29,BP
1954,10,4.45,BP
1955,1,3.08,BP
1955,2,3.79,BP
1955,3,3.78,BP
1955,4,2.3,BP
1955,5,2.69,BP
1955,6,3.64,BP
1955,9,5.06,BP
1955,10,4.3,BP
1956,1,3.44,BP
1956,2,3.57,BP
1956,3,4.71,BP
1956,4,2.71,BP
1956,5,3.32,BP
1956,6,3.75,BP
1956,9,4.9,BP
1956,10,4.76,BP
1957,1,2.93,BP
1957,2,2.5,BP
1957,3,4.97,BP
1957,4,2.14,BP
1957,5,4.03,BP
1957,6,2.79,BP
1957,9,4.57,BP
1957,10,3.2,BP
1958,1,2.22,BP
1958,2,2.1,BP
1958,3,3.62,BP
1958,4,2.36,BP
1958,5,5.02,BP
1958,6,2.57,BP
1958,7,2.93,BP
1958,8,2.21,BP
1958,9,3.81,BP
1958,10,2.53,BP
1959,1,2.48,BP
1959,2,2.35,BP
1959,3,3.07,BP
1959,4,1.98,BP
1959,5,3.06,BP
1959,6,2.69,BP
1959,7,2.76,BP
1959,8,1.48,BP
1959,9,2.45,BP
1959,10,2.46,BP
1960,1,2.23,BP
1960,2,1.83,BP
1960,3,2.69,BP
1960,4,1.63,BP
1960,5,2.85,BP
1960,6,3.07,BP
1960,7,2.35,BP
1960,8,0.43,BP
1960,9,2.25,BP
1960,10,2.91,BP
1961,1,1.93,BP
1961,2,1.75,BP
1961,3,1.88,BP
1961,4,1.7,BP
1961,5,2.77,BP
1961,6,2.74,BP
1961,7,2.13,BP
1961,8,0.39,BP
1961,9,2.27,BP
1961,10,2.33,BP
1962,1,1.71,BP
1962,2,1.35,BP
1962,3,2.15,BP
1962,4,1.4,BP
1962,5,2.75,BP
1962,6,2.36,BP
1962,7,1.95,BP
1962,8,1.17,BP
1962,9,2.02,BP
1962,10,2.87,BP
1963,1,1.93,BP
1963,2,2.11,BP
1963,3,2.47,BP
1963,4,1.44,BP
1963,5,2.33,BP
1963,6,2.01,BP
1963,7,1.21,BP
1963,8,1.11,BP
1963,9,2.05,BP
1963,10,2.71,BP
1964,1,1.89,BP
1964,2,1.97,BP
1964,3,2.28,BP
1964,4,1.15,BP
1964,5,1.55,BP
1964,6,2.54,BP
1964,7,1.2,BP
1964,8,1.48,BP
1964,9,2.67,BP
1964,10,3.34,BP
1965,1,1.8,BP
1965,2,1.39,BP
1965,3,2.27,BP
1965,4,0.78,BP
1965,5,1.88,BP
1965,6,2.64,BP
1965,7,1.08,BP
1965,8,1.9,BP
1965,9,2.1,BP
1965,10,2.38,BP
1966,1,1.9,BP
1966,2,0.97,BP
1966,3,1.65,BP
1966,4,1.17,BP
1966,5,1.66,BP
1966,6,1.96,BP
1966,7,0.81,BP
1966,8,1.99,BP
1966,9,2.48,BP
1966,10,2.13,BP
1967,1,1.38,BP
1967,2,1.34,BP
1967,3,1.71,BP
1967,4,0.91,BP
1967,5,1.2,BP
1967,6,1.61,BP
1967,7,0.73,BP
1967,8,1.32,BP
1967,9,2.18,BP
1967,10,1.83,BP
1968,1,1.29,BP
1968,2,0.84,BP
1968,3,1.98,BP
1968,4,1.06,BP
1968,5,0.93,BP
1968,6,1.54,BP
1968,7,0.93,BP
1968,8,1.12,BP
1968,9,1.61,BP
1968,10,1.42,BP
1969,1,1.06,BP
1969,2,1.38,BP
1969,3,1.74,BP
1969,4,0.9,BP
1969,5,0.99,BP
1969,6,1.03,BP
1969,7,0.88,BP
1969,8,1.02,BP
1969,9,1.3,BP
1969,10,1.19,BP
1970,1,1.13,BP
1970,2,1.28,BP
1970,3,1.58,BP
1970,4,0.74,BP
1970,5,1.12,BP
1970,6,0.61,BP
1970,7,0.66,BP
1970,8,0.87,BP
1970,9,1.61,BP
1970,10,0.48,BP
1971,1,0.98,BP
1971,2,0.99,BP
1971,3,1.46,BP
1971,4,0.61,BP
1971,5,1.64,BP
1971,6,0.62,BP
1971,7,0.53,BP
1971,8,0.65,BP
1971,9,1.6,BP
1971,10,0.45,BP
1972,1,0.71,BP
1972,2,0.9,BP
1972,3,1.17,BP
1972,4,0.95,BP
1972,5,0.95,BP
1972,6,0.59,BP
1972,7,0.79,BP
1972,8,0.83,BP
1972,9,1.66,BP
1972,10,0.48,BP
1973,1,0.47,BP
1973,2,0.65,BP
1973,3,1.02,BP
1973,4,0.93,BP
1973,5,1.16,BP
1973,6,0.61,BP
1973,7,0.58,BP
1973,8,1.12,BP
1973,9,1.03,BP
1973,10,0.44,BP
1974,1,0.39,BP
1974,2,0.77,BP
1974,3,0.75,BP
1974,4,0.8,BP
1974,5,0.96,BP
1974,6,0.49,BP
1974,7,1.07,BP
1974,8,0.72,BP
1974,9,0.99,BP
1974,10,0.55,BP
1975,1,0.65,BP
1975,2,0.94,BP
1975,3,0.88,BP
1975,4,0.67,BP
1975,5,1,BP
1975,6,0.7,BP
1975,7,0.48,BP
1975,8,0.61,BP
1975,9,1.35,BP
1975,10,0.53,BP
1976,1,0.77,BP
1976,2,1.27,BP
1976,3,1.39,BP
1976,4,0.57,BP
1976,5,0.8,BP
1976,6,0.66,BP
1976,7,0.33,BP
1976,8,0.45,BP
1976,9,1.31,BP
1976,10,0.65,BP
1977,1,0.45,BP
1977,2,1.16,BP
1977,3,0.95,BP
1977,4,0.72,BP
1977,5,0.61,BP
1977,6,0.39,BP
1977,7,0.28,BP
1977,8,0.26,BP
1977,9,1.22,BP
1977,10,0.42,BP
1978,1,0.5,BP
1978,2,1.41,BP
1978,3,0.74,BP
1978,4,0.68,BP
1978,5,0.54,BP
1978,6,0.43,BP
1978,7,0.21,BP
1978,8,0.26,BP
1978,9,0.79,BP
1978,10,0.26,BP
1979,1,0.4,BP
1979,2,1.58,BP
1979,3,1.04,BP
1979,4,0.33,BP
1979,5,0.31,BP
1979,6,0.56,BP
1979,7,0.23,BP
1979,8,0.24,BP
1979,9,0.93,BP
1979,10,0.17,BP
1980,1,0.46,BP
1980,2,2.09,BP
1980,3,1.01,BP
1980,4,0.27,BP
1980,5,0.37,BP
1980,6,0.6,BP
1980,7,0.14,BP
1980,8,0.17,BP
1980,9,0.82,BP
1980,10,0.16,BP
1981,1,0.44,BP
1981,2,1.02,BP
1981,3,0.96,BP
1981,4,0.28,BP
1981,5,0.19,BP
1981,6,0.57,BP
1981,7,0.09,BP
1981,8,0.13,BP
1981,9,1.17,BP
1981,10,0.16,BP
1982,1,0.33,BP
1982,2,0.68,BP
1982,3,0.7,BP
1982,4,0.27,BP
1982,5,0.25,BP
1982,6,0.45,BP
1982,7,0.08,BP
1982,8,0.12,BP
1982,9,0.85,BP
1982,10,0.41,BP
