year,tree_no,ring_width_mm,stand
1976,6,1.22,ML
1976,7,1.19,ML
1976,8,1.47,ML
1976,9,1.86,ML
1976,10,1.04,ML
1977,1,0.4,ML
1977,2,2.32,ML
1977,3,0.86,ML
1977,4,2.3,ML
1977,5,0.25,ML
1977,6,0.84,ML
1977,7,0.89,ML
1977,8,1.21,ML
1977,9,1.14,ML
1977,10,0.92,ML
1978,1,0.56,ML
1978,2,3.18,ML
1978,3,0.97,ML
1978,4,1.96,ML
1978,5,0.24,ML
1978,6,0.58,ML
1978,7,0.81,ML
1978,8,1.17,ML
1978,9,1.35,ML
1978,10,0.74,ML
1979,1,0.29,ML
1979,2,2.16,ML
1979,3,1.01,ML
1979,4,2.38,ML
1979,5,0.43,ML
1979,6,0.32,ML
1979,7,0.57,ML
1979,8,1,ML
1979,9,1.32,ML
1979,10,0.81,ML
1980,1,0.36,ML
1980,2,2.82,ML
1980,3,0.96,ML
1980,4,1.31,ML
1980,5,0.5,ML
1980,6,0.42,ML
1980,7,0.98,ML
1980,8,0.64,ML
1980,9,0.63,ML
1980,10,0.34,ML
1981,1,0.47,ML
1981,2,2.65,ML
1981,3,0.68,ML
1981,4,0.84,ML
1981,5,0.25,ML
1981,6,0.49,ML
1981,7,1.32,ML
1981,8,0.86,ML
1981,9,0.63,ML
1981,10,0.75,ML
1982,1,0.59,ML
1982,2,1.34,ML
1982,3,0.4,ML
1982,4,1.3,ML
1982,5,0.35,ML
1982,6,0.29,ML
1982,7,1.1,ML
1982,8,1.01,ML
1982,9,0.43,ML
1982,10,0.53,ML
